audit_id,gold_label,gold_label_name,augmented_field,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_severity,review_error_types,review_notes
A0014,1,neutral,hypothesis,A person holding a small dog on a leash is bending over and looking through items.,The person is looking though several shopping bags.,A person holding a small dog on a leash is bending over and looking through items.,The person looks through several shopping bags.,The person is looking though several shopping bags.,The person looks through several shopping bags.,,,,,,
A0015,2,contradiction,hypothesis,A group of people digging a large hole.,A bulldozer digging a hole.,A group of people digging a large hole.,A bulldozer that's digging a hole.,A bulldozer digging a hole.,A bulldozer that's digging a hole.,,,,,,
A0016,1,neutral,hypothesis,Two men fix a bicycle on a trail.,Two men are out in the mountains.,Two men fix a bicycle on a trail.,Two men are in the mountains.,Two men are out in the mountains.,Two men are in the mountains.,,,,,,
A0017,0,entailment,hypothesis,"With flowers in the foreground, a man in a blue striped shirt bikes past a large white building.",A man is biking outside.,"With flowers in the foreground, a man in a blue striped shirt bikes past a large white building.",There's a man on his bike outside.,A man is biking outside.,There's a man on his bike outside.,,,,,,
A0018,2,contradiction,premise,A warehouse manager assisting an employee.,The manager is about to fire the employee.,A warehouse manager assists an employee.,The manager is about to fire the employee.,A warehouse manager assisting an employee.,A warehouse manager assists an employee.,,,,,,
A0019,2,contradiction,premise,People are watching a boy on a skateboard at the top of a skate ramp.,People are watching a girl on a skateboard at the top of a skate ramp.,People look at a boy on a skateboard at the top of a skateboard ramp.,People are watching a girl on a skateboard at the top of a skate ramp.,People are watching a boy on a skateboard at the top of a skate ramp.,People look at a boy on a skateboard at the top of a skateboard ramp.,,,,,,
A0020,0,entailment,hypothesis,"A woman holding a girl, who wears an apple themed coat.",Woman holds a girl wearing a coat.,"A woman holding a girl, who wears an apple themed coat.",A woman holds a girl in a coat.,Woman holds a girl wearing a coat.,A woman holds a girl in a coat.,,,,,,
A0021,2,contradiction,premise,A man in a black hat holds a small girl on his shoulders.,A man carries his son.,A man in a black hat holds a little girl on his shoulders.,A man carries his son.,A man in a black hat holds a small girl on his shoulders.,A man in a black hat holds a little girl on his shoulders.,,,,,,
A0022,1,neutral,hypothesis,A crowd of black people are gathered and one person has a backpack on.,A crowd of teenage black people are waiting for the school to open and one of them has a backpack.,A crowd of black people are gathered and one person has a backpack on.,A bunch of black teenagers are waiting for school to open and one of them has a backpack.,A crowd of teenage black people are waiting for the school to open and one of them has a backpack.,A bunch of black teenagers are waiting for school to open and one of them has a backpack.,,,,,,
A0023,0,entailment,premise,A baby with its eyes closed is holding a wooden toy and biting it.,The child is chewing its toys.,A baby with his eyes closed holds a wooden toy and bites it.,The child is chewing its toys.,A baby with its eyes closed is holding a wooden toy and biting it.,A baby with his eyes closed holds a wooden toy and bites it.,,,,,,
A0024,2,contradiction,hypothesis,A man sits in the floor slapping something while another woman watches and one stands in the kitchen talking.,Noone is watching the man.,A man sits in the floor slapping something while another woman watches and one stands in the kitchen talking.,No one's watching him.,Noone is watching the man.,No one's watching him.,,,,,,
A0025,2,contradiction,hypothesis,A group of people hold on to a long skinny object.,No one is holding on to an object,A group of people hold on to a long skinny object.,No one holds on to an object.,No one is holding on to an object,No one holds on to an object.,,,,,,
A0026,0,entailment,hypothesis,A male is leaping above white water.,A male leaps.,A male is leaping above white water.,A male jumps.,A male leaps.,A male jumps.,,,,,,
A0027,2,contradiction,premise,An older man with white hair and beard reading a map as he's walking through an unfamiliar city.,The man is sitting on a park bench.,An old man with white hair and a beard reading a map as he walks through an unknown city.,The man is sitting on a park bench.,An older man with white hair and beard reading a map as he's walking through an unfamiliar city.,An old man with white hair and a beard reading a map as he walks through an unknown city.,,,,,,
A0028,0,entailment,premise,Two women sit at desks in a large room with white walls.,The women are esitting in a white room.,Two women are sitting at offices in a large room with white walls.,The women are esitting in a white room.,Two women sit at desks in a large room with white walls.,Two women are sitting at offices in a large room with white walls.,,,,,,
A0029,0,entailment,premise,A man in a black shirt and blue jeans crawls on a table.,A man wearing a black shirt.,A man in a black shirt and blue jeans crawling on a table.,A man wearing a black shirt.,A man in a black shirt and blue jeans crawls on a table.,A man in a black shirt and blue jeans crawling on a table.,,,,,,
A0030,1,neutral,hypothesis,There are three people sitting on a bench outside a building and one man standing next to it looking at a newspaper.,The people are talking.,There are three people sitting on a bench outside a building and one man standing next to it looking at a newspaper.,People are talking.,The people are talking.,People are talking.,,,,,,
A0031,2,contradiction,premise,Two people with hard hats on standing on a brick wall.,No one is wearing protective gear.,Two people in hard hats standing on a brick wall.,No one is wearing protective gear.,Two people with hard hats on standing on a brick wall.,Two people in hard hats standing on a brick wall.,,,,,,
A0032,1,neutral,premise,A woman standing in front of a building as others go about their day.,I women waiting on friends outside a building.,A woman standing in front of a building while others spend their day.,I women waiting on friends outside a building.,A woman standing in front of a building as others go about their day.,A woman standing in front of a building while others spend their day.,,,,,,
A0033,1,neutral,premise,a group sitting at a table discussing a subject.,peoples are tested by group discussion.,A group sitting at a table discussing a topic.,peoples are tested by group discussion.,a group sitting at a table discussing a subject.,A group sitting at a table discussing a topic.,,,,,,
A0034,1,neutral,premise,A guy snowboarding down a pole that is on top of a blue vehicle into the snow.,A man performs snowboard stunts in a scored event.,A guy who's snowboarding on a pole that's on a blue vehicle in the snow.,A man performs snowboard stunts in a scored event.,A guy snowboarding down a pole that is on top of a blue vehicle into the snow.,A guy who's snowboarding on a pole that's on a blue vehicle in the snow.,,,,,,
A0035,1,neutral,premise,A man in a white shirt is working on a laptop while another man in a black shirt points to something on the screen with a pen.,The men are coworkers.,A man in a white shirt is working on a laptop while another man in a black shirt is pointing a pen at something on the screen.,The men are coworkers.,A man in a white shirt is working on a laptop while another man in a black shirt points to something on the screen with a pen.,A man in a white shirt is working on a laptop while another man in a black shirt is pointing a pen at something on the screen.,,,,,,
A0036,1,neutral,premise,The man in blue is punching the man with the red gloves while he blocks his face.,Floyd Mayweather is laying some smack down on a hapless challenger.,The man in blue hits the man with his red gloves while he blocks his face.,Floyd Mayweather is laying some smack down on a hapless challenger.,The man in blue is punching the man with the red gloves while he blocks his face.,The man in blue hits the man with his red gloves while he blocks his face.,,,,,,
A0037,1,neutral,hypothesis,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",Blonde man drinking water from a fountain in the park.,A blond man getting a drink of water from a fountain in the park.,Blonde man drinking water from a fountain in the park.,,,,,,
A0038,0,entailment,premise,"A young man is having his picture taken in front of a picture of an Asian sports team, while a child walks in a ball cap walks in front of the picture.",A young man gets his photo taken.,"A young man is photographed in front of a photo of an Asian sports team, while a child in a ball cap is walking in front of the photo.",A young man gets his photo taken.,"A young man is having his picture taken in front of a picture of an Asian sports team, while a child walks in a ball cap walks in front of the picture.","A young man is photographed in front of a photo of an Asian sports team, while a child in a ball cap is walking in front of the photo.",,,,,,
A0039,2,contradiction,hypothesis,A lady wearing a bonnet is sitting down with her hands on her lap.,A man is standing in a field.,A lady wearing a bonnet is sitting down with her hands on her lap.,There's a man standing in a field.,A man is standing in a field.,There's a man standing in a field.,,,,,,
A0040,2,contradiction,premise,A Team USA player passing the ball to another player.,The people do not have a ball.,A player on the U.S. team passes the ball to another player.,The people do not have a ball.,A Team USA player passing the ball to another player.,A player on the U.S. team passes the ball to another player.,,,,,,
A0041,0,entailment,premise,A man and a woman are walking in a street.,a man and a woman walk down the street,A man and a woman are walking down a street.,a man and a woman walk down the street,A man and a woman are walking in a street.,A man and a woman are walking down a street.,,,,,,
A0042,0,entailment,premise,a lone skier walking cross a snowy bank with trees in the background,A person is out in the outdoors.,a lonely skier crossing a snowy bank with trees in the background,A person is out in the outdoors.,a lone skier walking cross a snowy bank with trees in the background,a lonely skier crossing a snowy bank with trees in the background,,,,,,
A0043,2,contradiction,hypothesis,A woman wearing a black stands in front of a counter while she holds a piece of meat.,The woman is naked while holding a salad.,A woman wearing a black stands in front of a counter while she holds a piece of meat.,The woman is naked holding a salad.,The woman is naked while holding a salad.,The woman is naked holding a salad.,,,,,,
A0044,2,contradiction,hypothesis,A woman pushing a shopping cart at a grocery store.,A woman carrying her bags to the car,A woman pushing a shopping cart at a grocery store.,There's a woman carrying her bags in the car.,A woman carrying her bags to the car,There's a woman carrying her bags in the car.,,,,,,
A0045,2,contradiction,premise,A young long-haired girl is out skipping on the sidewalk on a sunny day.,The boy is rolling a can down the street in the rain.,A young girl with long hair jumps on the sidewalk on a sunny day.,The boy is rolling a can down the street in the rain.,A young long-haired girl is out skipping on the sidewalk on a sunny day.,A young girl with long hair jumps on the sidewalk on a sunny day.,,,,,,
A0046,2,contradiction,premise,A man is leaning his head on a fancy coffin in a church.,A man is leaning his head against a pulpit.,A man leans his head on a luxury coffin in a church.,A man is leaning his head against a pulpit.,A man is leaning his head on a fancy coffin in a church.,A man leans his head on a luxury coffin in a church.,,,,,,
A0047,1,neutral,premise,A middle-aged man riding his black motorcycle through a neighborhood.,The man is headed home on his motorcycle.,A middle-aged man drives his black motorcycle through a neighborhood.,The man is headed home on his motorcycle.,A middle-aged man riding his black motorcycle through a neighborhood.,A middle-aged man drives his black motorcycle through a neighborhood.,,,,,,
A0048,1,neutral,hypothesis,Several people walk by a rickshaw containing a sleeping cat.,People walking as a group in a tour,Several people walk by a rickshaw containing a sleeping cat.,People walk in groups on tour.,People walking as a group in a tour,People walk in groups on tour.,,,,,,
A0049,0,entailment,premise,A big group of people are enjoying a public event.,People are enjoying a public event.,A large group of people enjoy a public event.,People are enjoying a public event.,A big group of people are enjoying a public event.,A large group of people enjoy a public event.,,,,,,
A0050,0,entailment,premise,A dog is standing in the snow watching the camera,The dog is experiencing cold weather.,A dog is standing in the snow and looking at the camera.,The dog is experiencing cold weather.,A dog is standing in the snow watching the camera,A dog is standing in the snow and looking at the camera.,,,,,,
A0051,0,entailment,premise,A man is standing next to a vehicle in a city setting.,Someone is standing by a car,A man is standing next to a vehicle in a city.,Someone is standing by a car,A man is standing next to a vehicle in a city setting.,A man is standing next to a vehicle in a city.,,,,,,
A0052,0,entailment,premise,A surfer catching a wave.,A person is surfing.,A surfer who catches a wave.,A person is surfing.,A surfer catching a wave.,A surfer who catches a wave.,,,,,,
A0053,1,neutral,premise,Two people in blue shirts are selling shoes in an outside market.,The shoes are being sold by the girls.,Two people in blue shirts are selling shoes at an outdoor market.,The shoes are being sold by the girls.,Two people in blue shirts are selling shoes in an outside market.,Two people in blue shirts are selling shoes at an outdoor market.,,,,,,
A0054,1,neutral,hypothesis,Shoppers look for Christmas gifts at Harrod's department store.,The shoppers are finding good deals.,Shoppers look for Christmas gifts at Harrod's department store.,Buyers find good deals.,The shoppers are finding good deals.,Buyers find good deals.,,,,,,
A0055,1,neutral,hypothesis,Several people are walking on a sidewalk while one person is laying down.,a person is laying down because he is having a heart attack,Several people are walking on a sidewalk while one person is laying down.,a person goes to bed because they have a heart attack,a person is laying down because he is having a heart attack,a person goes to bed because they have a heart attack,,,,,,
A0056,0,entailment,hypothesis,"A young man is having his picture taken in front of a picture of an Asian sports team, while a child walks in a ball cap walks in front of the picture.",A young man gets his photo taken.,"A young man is having his picture taken in front of a picture of an Asian sports team, while a child walks in a ball cap walks in front of the picture.",A young man is being photographed.,A young man gets his photo taken.,A young man is being photographed.,,,,,,
A0057,1,neutral,hypothesis,The young boy is jumping into the pool on his belly.,The people around the pool are afraid of getting wet after the belly flop is finished.,The young boy is jumping into the pool on his belly.,People around the pool are afraid of getting wet after a stomach flop.,The people around the pool are afraid of getting wet after the belly flop is finished.,People around the pool are afraid of getting wet after a stomach flop.,,,,,,
A0058,2,contradiction,premise,A guy catches or prepares to throw a football with various teammates and staff in the background at what looks like a school.,Students play lacrosse at a school.,A guy takes or prepares to throw a football with various teammates and staff in the background to what looks like a school.,Students play lacrosse at a school.,A guy catches or prepares to throw a football with various teammates and staff in the background at what looks like a school.,A guy takes or prepares to throw a football with various teammates and staff in the background to what looks like a school.,,,,,,
A0059,2,contradiction,hypothesis,A little girl in a hat sits under a grocery cart.,A girl is sleeping in her bed.,A little girl in a hat sits under a grocery cart.,A girl sleeps in her bed.,A girl is sleeping in her bed.,A girl sleeps in her bed.,,,,,,
A0060,0,entailment,premise,Two young women are writing on a banner.,Two women are writing.,Two young women writing on a banner.,Two women are writing.,Two young women are writing on a banner.,Two young women writing on a banner.,,,,,,
A0061,1,neutral,premise,A dog runs while holding an object in its mouth.,The dog brings the ball back to his owner.,A dog runs when he holds an object in his mouth.,The dog brings the ball back to his owner.,A dog runs while holding an object in its mouth.,A dog runs when he holds an object in his mouth.,,,,,,
A0062,2,contradiction,premise,"A young boy, arms and legs splayed wide, is leaping into the water on a rocky shoreline.",A young boy is spitting.,"A young boy, with his arms and legs spread out, jumps into the water on a rocky shore.",A young boy is spitting.,"A young boy, arms and legs splayed wide, is leaping into the water on a rocky shoreline.","A young boy, with his arms and legs spread out, jumps into the water on a rocky shore.",,,,,,
A0063,2,contradiction,hypothesis,A young boy points a toy rifle off-camera.,A boy is holding a sword.,A young boy points a toy rifle off-camera.,A boy holds a sword.,A boy is holding a sword.,A boy holds a sword.,,,,,,
A0064,0,entailment,hypothesis,"one white little girl, riding on a brown and white saddle which is on top of brown adult horse with black hair, both outside on a sunny day.",The girl is on the horse.,"one white little girl, riding on a brown and white saddle which is on top of brown adult horse with black hair, both outside on a sunny day.",The girl's on a horse.,The girl is on the horse.,The girl's on a horse.,,,,,,
A0065,0,entailment,premise,A young lady is being videotaped while she's sitting in her stroller in front of a Sysco truck on the sidewalk.,a young woman is being filmed while she sits in her stroller on the sidewalk in front of a truck,A young woman is filmed as she sits in her stroller in front of a Sysco truck on the sidewalk.,a young woman is being filmed while she sits in her stroller on the sidewalk in front of a truck,A young lady is being videotaped while she's sitting in her stroller in front of a Sysco truck on the sidewalk.,A young woman is filmed as she sits in her stroller in front of a Sysco truck on the sidewalk.,,,,,,
A0066,1,neutral,premise,A group of young students are hanging out together in a university.,Students sit together by the Student Union building.,A group of young students hanging out together at a university.,Students sit together by the Student Union building.,A group of young students are hanging out together in a university.,A group of young students hanging out together at a university.,,,,,,
A0067,0,entailment,premise,A woman is taking a man's blood pressure in a kitchen.,The woman is checking the man's health indoors.,A woman takes a man's blood pressure in a kitchen.,The woman is checking the man's health indoors.,A woman is taking a man's blood pressure in a kitchen.,A woman takes a man's blood pressure in a kitchen.,,,,,,
A0068,1,neutral,hypothesis,Teenage girls in a dance recital.,The high school dance team put on a great show.,Teenage girls in a dance recital.,The high school dance team did a great show.,The high school dance team put on a great show.,The high school dance team did a great show.,,,,,,
A0069,0,entailment,premise,Many people stand on an overpass looking over.,People are looking at something.,A lot of people stand on a bridge and watch.,People are looking at something.,Many people stand on an overpass looking over.,A lot of people stand on a bridge and watch.,,,,,,
A0070,0,entailment,hypothesis,A man with an olive green shirt and messy hair plays a colorful drum set.,A man plays the drums.,A man with an olive green shirt and messy hair plays a colorful drum set.,There's a man playing drums.,A man plays the drums.,There's a man playing drums.,,,,,,
A0071,0,entailment,premise,A biker reaches the apex of his ramp while onlookers watch his feat.,A biker reaches the apex of his ramp.,A motorcyclist reaches the top of his ramp while spectators watch his feat.,A biker reaches the apex of his ramp.,A biker reaches the apex of his ramp while onlookers watch his feat.,A motorcyclist reaches the top of his ramp while spectators watch his feat.,,,,,,
A0072,1,neutral,hypothesis,A woman is playing ice hockey.,A woman proving she can be a hockey player.,A woman is playing ice hockey.,A woman who proves she can be a hockey player.,A woman proving she can be a hockey player.,A woman who proves she can be a hockey player.,,,,,,
A0073,0,entailment,hypothesis,Two men in sleeveless shirts and shorts getting a beverage.,two men are getting a drink,Two men in sleeveless shirts and shorts getting a beverage.,Two men are having a drink.,two men are getting a drink,Two men are having a drink.,,,,,,
A0074,1,neutral,hypothesis,A woman in a park wearing a hat and holding a scarf over her face.,A woman is in a city park.,A woman in a park wearing a hat and holding a scarf over her face.,There's a woman in a city park.,A woman is in a city park.,There's a woman in a city park.,,,,,,
A0075,2,contradiction,hypothesis,Two white dogs play together on a slightly snowy patch of green grass.,dog chasing man on snow,Two white dogs play together on a slightly snowy patch of green grass.,dog chasing a man on the snow,dog chasing man on snow,dog chasing a man on the snow,,,,,,
A0076,1,neutral,hypothesis,Two people in blue shirts are selling shoes in an outside market.,The shoes are being sold by the girls.,Two people in blue shirts are selling shoes in an outside market.,The shoes are sold by the girls.,The shoes are being sold by the girls.,The shoes are sold by the girls.,,,,,,
A0077,2,contradiction,premise,A man bending over holding a tennis ball and playing with his dog.,The man and his dog are playing basketball at the gym.,A man bent over holding a tennis ball and playing with his dog.,The man and his dog are playing basketball at the gym.,A man bending over holding a tennis ball and playing with his dog.,A man bent over holding a tennis ball and playing with his dog.,,,,,,
A0078,2,contradiction,hypothesis,A girl sitting in the back of a cart full of various belongings.,A boy carries his belongings in his arms.,A girl sitting in the back of a cart full of various belongings.,A boy carries his stuff in his arms.,A boy carries his belongings in his arms.,A boy carries his stuff in his arms.,,,,,,
A0079,2,contradiction,hypothesis,A male surfer catching a nice wave.,A woman is surfing.,A male surfer catching a nice wave.,She's a surfer.,A woman is surfing.,She's a surfer.,,,,,,
A0080,1,neutral,premise,A person riding a horse trying to rope a calf that is running from them.,A person is competing at a rodeo.,A person on a horse trying to tie up a calf that runs away.,A person is competing at a rodeo.,A person riding a horse trying to rope a calf that is running from them.,A person on a horse trying to tie up a calf that runs away.,,,,,,
A0081,2,contradiction,hypothesis,People sitting in a room talking to a panel.,The people are at a party.,People sitting in a room talking to a panel.,People are at a party.,The people are at a party.,People are at a party.,,,,,,
A0082,0,entailment,hypothesis,Several people are holding containers of alcohol in a room.,People holding containers on alcohol.,Several people are holding containers of alcohol in a room.,People holding liquor containers.,People holding containers on alcohol.,People holding liquor containers.,,,,,,
A0083,2,contradiction,hypothesis,A surfer in the distance is at the base of the wave close to the shore.,A man surfs the internet at home.,A surfer in the distance is at the base of the wave close to the shore.,A man surfing the Internet at home.,A man surfs the internet at home.,A man surfing the Internet at home.,,,,,,
A0084,1,neutral,premise,A man in a black sweatshirt and jeans holds a black acoustic guitar and converses with a passerby.,A man holds his guitar and talks to a man who just gave him a tip.,A man in a black sweatshirt and jeans holds a black acoustic guitar and speaks to a passerby.,A man holds his guitar and talks to a man who just gave him a tip.,A man in a black sweatshirt and jeans holds a black acoustic guitar and converses with a passerby.,A man in a black sweatshirt and jeans holds a black acoustic guitar and speaks to a passerby.,,,,,,
A0085,2,contradiction,hypothesis,Two women observing a fountain in a park.,two women dig up their yard for a garden,Two women observing a fountain in a park.,Two women are digging their garden for a garden.,two women dig up their yard for a garden,Two women are digging their garden for a garden.,,,,,,
A0086,2,contradiction,hypothesis,A man sits under an umbrella beside a pond while he works.,A woman is swimming in a pool.,A man sits under an umbrella beside a pond while he works.,There's a woman swimming in a pool.,A woman is swimming in a pool.,There's a woman swimming in a pool.,,,,,,
A0087,1,neutral,premise,People walk down the busy sidewalk.,People happily walk down the sidewalk.,People are walking down the busy sidewalk.,People happily walk down the sidewalk.,People walk down the busy sidewalk.,People are walking down the busy sidewalk.,,,,,,
A0088,1,neutral,premise,"Construction worker, welding on high beam.",The worker gets paid,"Construction worker, high beam welding.",The worker gets paid,"Construction worker, welding on high beam.","Construction worker, high beam welding.",,,,,,
A0089,1,neutral,premise,A man hiking with a large backpack and two poles near a collection of pointy white rocks.,The man hiking is caucasian.,A man walking with a big backpack and two poles near a collection of sharp white stones.,The man hiking is caucasian.,A man hiking with a large backpack and two poles near a collection of pointy white rocks.,A man walking with a big backpack and two poles near a collection of sharp white stones.,,,,,,
A0090,2,contradiction,premise,"At a brick-floored area near the beach, a middle-aged white man surrounded by a white family is sitting and painting a portrait of someone.",A woman is drawing dogs at the beach.,"In a brick area near the beach, a middle-aged white man, surrounded by a white family, is sitting and painting a portrait of someone.",A woman is drawing dogs at the beach.,"At a brick-floored area near the beach, a middle-aged white man surrounded by a white family is sitting and painting a portrait of someone.","In a brick area near the beach, a middle-aged white man, surrounded by a white family, is sitting and painting a portrait of someone.",,,,,,
A0091,0,entailment,premise,This dish is very tasty and I enjoy this dish,There is food in the dish.,This dish is very tasty and I love this dish.,There is food in the dish.,This dish is very tasty and I enjoy this dish,This dish is very tasty and I love this dish.,,,,,,
A0092,1,neutral,premise,A young boy listens to music through headphones in front of a kitchen.,A young boy listens to rock music.,A young boy is listening to music through headphones in front of a kitchen.,A young boy listens to rock music.,A young boy listens to music through headphones in front of a kitchen.,A young boy is listening to music through headphones in front of a kitchen.,,,,,,
A0093,0,entailment,premise,A dog taking a poop in the street.,A dog is pooping.,A dog that's doing shit on the street.,A dog is pooping.,A dog taking a poop in the street.,A dog that's doing shit on the street.,,,,,,
A0094,0,entailment,hypothesis,Two girls look through a microscope.,Girls are looking through an instrument,Two girls look through a microscope.,Girls look through an instrument,Girls are looking through an instrument,Girls look through an instrument,,,,,,
A0095,2,contradiction,hypothesis,An elderly man with a beard in a dark suit is walking through a rainy city.,A young man is dancing in the streets on a sunny day.,An elderly man with a beard in a dark suit is walking through a rainy city.,A young man dances in the streets on a sunny day.,A young man is dancing in the streets on a sunny day.,A young man dances in the streets on a sunny day.,,,,,,
A0096,2,contradiction,premise,A surfer in the distance is at the base of the wave close to the shore.,A man surfs the internet at home.,A remote surfer is at the base of the wave near the coast.,A man surfs the internet at home.,A surfer in the distance is at the base of the wave close to the shore.,A remote surfer is at the base of the wave near the coast.,,,,,,
A0097,2,contradiction,premise,"A man in glasses and a dust mask makes chains under a sign reading ""laut jaya.""",A man is indoors watching TV.,"A man with glasses and a dust mask makes chains under a sign that says ""laut jaya"".",A man is indoors watching TV.,"A man in glasses and a dust mask makes chains under a sign reading ""laut jaya.""","A man with glasses and a dust mask makes chains under a sign that says ""laut jaya"".",,,,,,
A0098,1,neutral,premise,"A woman is running on a gravel path, while another woman in a green shirt is cheering.",A woman in shorts is running.,"One woman runs down a gravel road, while another woman in a green shirt applauds.",A woman in shorts is running.,"A woman is running on a gravel path, while another woman in a green shirt is cheering.","One woman runs down a gravel road, while another woman in a green shirt applauds.",,,,,,
A0099,2,contradiction,premise,A group of young men in colorful shirts with their number on them walk down a street.,They are camping out in the wilderness,A group of young men dressed in colorful shirts with their number on them are walking down a street.,They are camping out in the wilderness,A group of young men in colorful shirts with their number on them walk down a street.,A group of young men dressed in colorful shirts with their number on them are walking down a street.,,,,,,
A0100,0,entailment,premise,A man with black hair sits in a restaurant with a glass of beer.,There is a man with a drink.,A man with black hair is sitting in a restaurant with a glass of beer.,There is a man with a drink.,A man with black hair sits in a restaurant with a glass of beer.,A man with black hair is sitting in a restaurant with a glass of beer.,,,,,,
A0101,2,contradiction,hypothesis,A guy catches or prepares to throw a football with various teammates and staff in the background at what looks like a school.,Students play lacrosse at a school.,A guy catches or prepares to throw a football with various teammates and staff in the background at what looks like a school.,Students are playing lacrosse at a school.,Students play lacrosse at a school.,Students are playing lacrosse at a school.,,,,,,
A0102,1,neutral,premise,A crowd of black people are gathered and one person has a backpack on.,A crowd of teenage black people are waiting for the school to open and one of them has a backpack.,There's a crowd of blacks gathered and a person is carrying a backpack.,A crowd of teenage black people are waiting for the school to open and one of them has a backpack.,A crowd of black people are gathered and one person has a backpack on.,There's a crowd of blacks gathered and a person is carrying a backpack.,,,,,,
A0103,1,neutral,premise,A boy jumps off of a structure into a pool.,He is wearing swim goggles.,A boy jumps from a structure into a pool.,He is wearing swim goggles.,A boy jumps off of a structure into a pool.,A boy jumps from a structure into a pool.,,,,,,
A0104,1,neutral,hypothesis,A father and his son and daughter play by the waters edge.,A father is spending his saturday with his kids,A father and his son and daughter play by the waters edge.,A father spends his Saturday with his children.,A father is spending his saturday with his kids,A father spends his Saturday with his children.,,,,,,
A0105,0,entailment,premise,An elderly man in a leather jacket with a scarf is holding up a sign.,A man is holding up a sign.,An old man in a leather jacket and a scarf holds a sign.,A man is holding up a sign.,An elderly man in a leather jacket with a scarf is holding up a sign.,An old man in a leather jacket and a scarf holds a sign.,,,,,,
A0106,1,neutral,hypothesis,A white female sitting behind a programmes and ice cream stand.,A woman waits for a friend behind a programmes and ice cream stand.,A white female sitting behind a programmes and ice cream stand.,A woman waits for a friend behind a program and an ice cream stand.,A woman waits for a friend behind a programmes and ice cream stand.,A woman waits for a friend behind a program and an ice cream stand.,,,,,,
