audit_id,gold_label,gold_label_name,augmented_field,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_severity,review_error_types,review_notes
A0091,0,entailment,premise,This dish is very tasty and I enjoy this dish,There is food in the dish.,This dish is very tasty and I love this dish.,There is food in the dish.,This dish is very tasty and I enjoy this dish,This dish is very tasty and I love this dish.,,,,,,
A0092,1,neutral,premise,A young boy listens to music through headphones in front of a kitchen.,A young boy listens to rock music.,A young boy is listening to music through headphones in front of a kitchen.,A young boy listens to rock music.,A young boy listens to music through headphones in front of a kitchen.,A young boy is listening to music through headphones in front of a kitchen.,,,,,,
A0093,0,entailment,premise,A dog taking a poop in the street.,A dog is pooping.,A dog that's doing shit on the street.,A dog is pooping.,A dog taking a poop in the street.,A dog that's doing shit on the street.,,,,,,
A0094,0,entailment,hypothesis,Two girls look through a microscope.,Girls are looking through an instrument,Two girls look through a microscope.,Girls look through an instrument,Girls are looking through an instrument,Girls look through an instrument,,,,,,
A0095,2,contradiction,hypothesis,An elderly man with a beard in a dark suit is walking through a rainy city.,A young man is dancing in the streets on a sunny day.,An elderly man with a beard in a dark suit is walking through a rainy city.,A young man dances in the streets on a sunny day.,A young man is dancing in the streets on a sunny day.,A young man dances in the streets on a sunny day.,,,,,,
A0096,2,contradiction,premise,A surfer in the distance is at the base of the wave close to the shore.,A man surfs the internet at home.,A remote surfer is at the base of the wave near the coast.,A man surfs the internet at home.,A surfer in the distance is at the base of the wave close to the shore.,A remote surfer is at the base of the wave near the coast.,,,,,,
A0097,2,contradiction,premise,"A man in glasses and a dust mask makes chains under a sign reading ""laut jaya.""",A man is indoors watching TV.,"A man with glasses and a dust mask makes chains under a sign that says ""laut jaya"".",A man is indoors watching TV.,"A man in glasses and a dust mask makes chains under a sign reading ""laut jaya.""","A man with glasses and a dust mask makes chains under a sign that says ""laut jaya"".",,,,,,
A0098,1,neutral,premise,"A woman is running on a gravel path, while another woman in a green shirt is cheering.",A woman in shorts is running.,"One woman runs down a gravel road, while another woman in a green shirt applauds.",A woman in shorts is running.,"A woman is running on a gravel path, while another woman in a green shirt is cheering.","One woman runs down a gravel road, while another woman in a green shirt applauds.",,,,,,
A0099,2,contradiction,premise,A group of young men in colorful shirts with their number on them walk down a street.,They are camping out in the wilderness,A group of young men dressed in colorful shirts with their number on them are walking down a street.,They are camping out in the wilderness,A group of young men in colorful shirts with their number on them walk down a street.,A group of young men dressed in colorful shirts with their number on them are walking down a street.,,,,,,
A0100,0,entailment,premise,A man with black hair sits in a restaurant with a glass of beer.,There is a man with a drink.,A man with black hair is sitting in a restaurant with a glass of beer.,There is a man with a drink.,A man with black hair sits in a restaurant with a glass of beer.,A man with black hair is sitting in a restaurant with a glass of beer.,,,,,,
A0101,2,contradiction,hypothesis,A guy catches or prepares to throw a football with various teammates and staff in the background at what looks like a school.,Students play lacrosse at a school.,A guy catches or prepares to throw a football with various teammates and staff in the background at what looks like a school.,Students are playing lacrosse at a school.,Students play lacrosse at a school.,Students are playing lacrosse at a school.,,,,,,
A0102,1,neutral,premise,A crowd of black people are gathered and one person has a backpack on.,A crowd of teenage black people are waiting for the school to open and one of them has a backpack.,There's a crowd of blacks gathered and a person is carrying a backpack.,A crowd of teenage black people are waiting for the school to open and one of them has a backpack.,A crowd of black people are gathered and one person has a backpack on.,There's a crowd of blacks gathered and a person is carrying a backpack.,,,,,,
A0103,1,neutral,premise,A boy jumps off of a structure into a pool.,He is wearing swim goggles.,A boy jumps from a structure into a pool.,He is wearing swim goggles.,A boy jumps off of a structure into a pool.,A boy jumps from a structure into a pool.,,,,,,
A0104,1,neutral,hypothesis,A father and his son and daughter play by the waters edge.,A father is spending his saturday with his kids,A father and his son and daughter play by the waters edge.,A father spends his Saturday with his children.,A father is spending his saturday with his kids,A father spends his Saturday with his children.,,,,,,
A0105,0,entailment,premise,An elderly man in a leather jacket with a scarf is holding up a sign.,A man is holding up a sign.,An old man in a leather jacket and a scarf holds a sign.,A man is holding up a sign.,An elderly man in a leather jacket with a scarf is holding up a sign.,An old man in a leather jacket and a scarf holds a sign.,,,,,,
A0106,1,neutral,hypothesis,A white female sitting behind a programmes and ice cream stand.,A woman waits for a friend behind a programmes and ice cream stand.,A white female sitting behind a programmes and ice cream stand.,A woman waits for a friend behind a program and an ice cream stand.,A woman waits for a friend behind a programmes and ice cream stand.,A woman waits for a friend behind a program and an ice cream stand.,,,,,,
A0107,0,entailment,premise,A group of children wearing colorful hats are smiling at the camera.,Some children are getting their picture taken.,A group of kids wearing colorful hats smiles at the camera.,Some children are getting their picture taken.,A group of children wearing colorful hats are smiling at the camera.,A group of kids wearing colorful hats smiles at the camera.,,,,,,
A0108,2,contradiction,premise,an asian girl looking surprised in front of a brick window,There is an arabian man looking surprised.,an Asian girl who looks surprised at a brick window,There is an arabian man looking surprised.,an asian girl looking surprised in front of a brick window,an Asian girl who looks surprised at a brick window,,,,,,
A0109,0,entailment,hypothesis,A woman in a red dress and a man in a white suite are engaging in a ballet performance on a purple lit stage.,A man and woman are dancing.,A woman in a red dress and a man in a white suite are engaging in a ballet performance on a purple lit stage.,A man and a woman are dancing.,A man and woman are dancing.,A man and a woman are dancing.,,,,,,
A0110,1,neutral,hypothesis,A dad is entertaining his family by playing the guitar.,The dad plays country music under the starry night.,A dad is entertaining his family by playing the guitar.,Dad plays country music under the stars.,The dad plays country music under the starry night.,Dad plays country music under the stars.,,,,,,
A0111,1,neutral,hypothesis,A person in a red shirt doing tricks on a bicycle.,A person is competing in a bmx competition.,A person in a red shirt doing tricks on a bicycle.,A person participates in a bmx competition.,A person is competing in a bmx competition.,A person participates in a bmx competition.,,,,,,
A0112,0,entailment,hypothesis,Two people walk in opposite directions across a brick road.,The road was made with bricks.,Two people walk in opposite directions across a brick road.,The road was made of bricks.,The road was made with bricks.,The road was made of bricks.,,,,,,
A0113,1,neutral,premise,"two kids, one with green pants and the other with a white shirt and jeans are running down a street.",There are children running after someone outside.,"Two children, one in green pants and the other in a white shirt and jeans, are running down the street.",There are children running after someone outside.,"two kids, one with green pants and the other with a white shirt and jeans are running down a street.","Two children, one in green pants and the other in a white shirt and jeans, are running down the street.",,,,,,
A0114,2,contradiction,hypothesis,Two young men are leaping exuberantly on an outdoor plaza.,The two men have just been stuck in concrete boots and are drowning in the Hudson River.,Two young men are leaping exuberantly on an outdoor plaza.,Both men are trapped in concrete boots and drowned in the Hudson River.,The two men have just been stuck in concrete boots and are drowning in the Hudson River.,Both men are trapped in concrete boots and drowned in the Hudson River.,,,,,,
A0115,0,entailment,hypothesis,"A woman sitting at a desk labeled Programmes and Ice Cream, the stand appears to be out of ice cream.","A female is sitting at a table with two labels, and item described in one of the labels is not at the table.","A woman sitting at a desk labeled Programmes and Ice Cream, the stand appears to be out of ice cream.","A female is sitting at a table with two labels, and the object described on one of the labels is not at the table.","A female is sitting at a table with two labels, and item described in one of the labels is not at the table.","A female is sitting at a table with two labels, and the object described on one of the labels is not at the table.",,,,,,
A0116,2,contradiction,hypothesis,A dog walking through the water at the ocean.,A cat walking through the water at the ocean.,A dog walking through the water at the ocean.,A cat walking in the water in the ocean.,A cat walking through the water at the ocean.,A cat walking in the water in the ocean.,,,,,,
A0117,1,neutral,premise,A child shows other kids his still packaged toy.,A child has a Buzz Lightyear doll.,A child shows other children his toy still packed.,A child has a Buzz Lightyear doll.,A child shows other kids his still packaged toy.,A child shows other children his toy still packed.,,,,,,
A0118,0,entailment,hypothesis,A man stands by a building playing a wooden electric guitar.,A man is standing.,A man stands by a building playing a wooden electric guitar.,There's a man standing.,A man is standing.,There's a man standing.,,,,,,
A0119,0,entailment,premise,A man in a blue shirt playing the drums and singing.,A man is playing drums and singing at the same time.,A man in a blue shirt playing drums and singing.,A man is playing drums and singing at the same time.,A man in a blue shirt playing the drums and singing.,A man in a blue shirt playing drums and singing.,,,,,,
A0120,0,entailment,premise,three people standing in line.,Some people are standing.,Three people in line.,Some people are standing.,three people standing in line.,Three people in line.,,,,,,
