calibration_index,source_index,premise,hypothesis,gold_label,original_nli_predicted_label,original_nli_gold_probability,original_entailment_probability,original_neutral_probability,original_contradiction_probability,original_matches_gold,verifier_model_revision
67,46771,"Girl with glasses wearing a black horizontally striped shirt, a blue tuque, and jeans sitting on a cobblestone sidewalk and street.",A girl is waiting for her ride,1,neutral,0.9970301389694214,0.002059288090094924,0.9970301389694214,0.0009105265489779413,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
68,48670,Two children are sitting shirtless on a trampoline.,The children are outside.,0,entailment,0.9531211256980896,0.9531211256980896,0.04496161267161369,0.0019171956228092313,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
69,48793,A man in a jean jacket walking through town.,Man takes a walk.,0,entailment,0.9964689016342163,0.9964689016342163,0.0030403307173401117,0.0004906854592263699,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
70,48999,A person does a jump on a bike in a natural setting.,A person is jumping over a bench on a bike.,1,neutral,0.9978662133216858,0.0008020802051760256,0.9978662133216858,0.0013316883705556393,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
71,49580,A young boy looks out the window while traveling.,a child is in a moving vehicle,0,entailment,0.9956674575805664,0.9956674575805664,0.003920066170394421,0.000412497844081372,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
72,49929,A crowd full of people are holding flags and signs.,A crowd of protesters hold anti abortion signs.,1,neutral,0.9992507100105286,0.00029294638079591095,0.9992507100105286,0.00045631182729266584,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
73,50615,A ballet dancer poses at a photo shoot.,A football player taking a hit,2,contradiction,0.9993504881858826,4.674668161896989e-05,0.0006027129711583257,0.9993504881858826,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
74,51049,A young girl and an older man are checking out at the food store.,The two people have just bought some food.,0,neutral,0.002839494263753295,0.002839494263753295,0.9951620697975159,0.0019984645769000053,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
75,52691,A street which is lined with many motorcycles.,There is a parade of motorcycles.,1,neutral,0.7990950345993042,0.19556763768196106,0.7990950345993042,0.005337312817573547,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
76,52808,A warehouse manager assisting an employee.,The manager is about to fire the employee.,2,contradiction,0.9609857797622681,0.00015161266492214054,0.0388626754283905,0.9609857797622681,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
77,53250,Man lining up a putt while playing mini-golf.,A man plays in the PGA tournament.,2,contradiction,0.7928719520568848,0.004051995929330587,0.2030760794878006,0.7928719520568848,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
78,53773,A man looks across a city street at night.,A man looks for criminal activity in the dark streets.,1,neutral,0.9984604120254517,0.0005713974824175239,0.9984604120254517,0.0009682084782980382,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
79,54712,A man breakdances as a crowd watches.,A man dances in front of a crowd.,0,entailment,0.9964410662651062,0.9964410662651062,0.0029956114012748003,0.000563325360417366,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
80,54941,The girl in the pink California Santa Cruz sweatshirt was cutting cheese for the picnic.,A girl cuts the cheese.,0,entailment,0.9970095157623291,0.9970095157623291,0.0024821197148412466,0.0005083343712612987,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
81,55266,"A man wearing a cowboy hat, overalls, and a white shirt is pointing at his music sheet and looking at someone in confusion.",The man is naked,2,contradiction,0.9994255304336548,0.00014253074186854064,0.00043191114673390985,0.9994255304336548,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
82,55448,A woman with blond-hair and a pink shirt holds a young boy who appears to be sad.,A woman and a young boy are laughing.,2,contradiction,0.9992283582687378,0.00013831521209795028,0.0006333112251013517,0.9992283582687378,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
83,56475,The dog is running around the cow.,An animal is moving.,0,entailment,0.9951796531677246,0.9951796531677246,0.0044084289111196995,0.0004119106160942465,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
84,56607,A man dressed in all green with his face covered by a bandanna is working outdoors with heavy machinery.,A man with a bandanna is outside.,0,entailment,0.9977753758430481,0.9977753758430481,0.0017866245470941067,0.00043795749661512673,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
85,56660,A woman with a drink and a toy.,a woman is lifting weights at the olympics,2,contradiction,0.9584112763404846,0.001838592579588294,0.039750080555677414,0.9584112763404846,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
86,56738,A woman scuba diving with a large sea turtle.,A woman captures an eel for her aquarium.,2,contradiction,0.9975811243057251,4.9834809033200145e-05,0.002369026653468609,0.9975811243057251,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
87,58153,A group of runners on a road outside wearing short-sleeved shirts and shorts run towards the camera while a group of bystanders lining the street watch.,the camera photographs a race,1,entailment,0.06744325906038284,0.929970383644104,0.06744325906038284,0.0025864271447062492,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
88,58539,"A man washing his shirt, in a fountain in a park.",The man is living out of his car since losing his job 5 months ago.,1,neutral,0.8265563249588013,0.00039266361272893846,0.8265563249588013,0.17305104434490204,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
89,58989,A man in a blue shirt is taking a picture.,A man is taking a picture of a pretty lady.,1,neutral,0.9991987347602844,0.00031998238409869373,0.9991987347602844,0.00048136140685528517,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
90,60384,Two basketball players from duke are looking upward.,Two teammates are checking the scoreboard.,1,entailment,0.25070178508758545,0.7480008006095886,0.25070178508758545,0.0012974618002772331,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
91,60930,A man with black hair is wearing a red and yellow shirt and has a yellow clown nose and face makeup on.,A man is dressed up like a clown.,0,entailment,0.9757490158081055,0.9757490158081055,0.02211962267756462,0.0021313545294106007,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
92,61057,A woman and three children are picking something out of a blue trashcan.,A woman and kids are picking up trash.,1,entailment,0.009554263204336166,0.9894681572914124,0.009554263204336166,0.0009775487706065178,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
93,62478,A dog is standing in the snow watching the camera,The dog is experiencing cold weather.,0,entailment,0.978808581829071,0.978808581829071,0.020419323816895485,0.0007721203728578985,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
94,62874,"A man in glasses and a dust mask makes chains under a sign reading ""laut jaya.""",A man is indoors watching TV.,2,contradiction,0.998729407787323,0.00010779884905787185,0.0011627840576693416,0.998729407787323,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
95,62914,A man in a blue shirt playing the drums and singing.,A man is playing drums and singing at the same time.,0,entailment,0.9800764918327332,0.9800764918327332,0.018157579004764557,0.001765927649103105,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
96,63473,This African-American man is talking on the phone.,A man is communicating,0,entailment,0.996439516544342,0.996439516544342,0.0032230678480118513,0.00033735274337232113,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
97,63627,The cylinder's pattern could be described as red chevron.,The cylinder was painted by someone.,0,neutral,0.0033191582188010216,0.0033191582188010216,0.9961122870445251,0.0005685059004463255,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
98,64203,A child sleeps under a pink pillow.,The child is asleep,0,entailment,0.9869613647460938,0.9869613647460938,0.010761748999357224,0.0022768815979361534,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
99,64354,two men working in a bakery,Two men checking books out of a library.,2,contradiction,0.9987892508506775,8.578070264775306e-05,0.0011249642120674253,0.9987892508506775,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
100,64378,Four people swinging on a swing set.,The four people are siblings.,1,neutral,0.999464213848114,0.00025035967701114714,0.999464213848114,0.00028544943779706955,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
101,64777,Two girls look through a microscope.,Girls are looking through an instrument,0,entailment,0.9922377467155457,0.9922377467155457,0.006920359097421169,0.0008419562363997102,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
102,66214,These are very well groomed animals.,These are animals.,0,entailment,0.9888596534729004,0.9888596534729004,0.00905528012663126,0.0020851180888712406,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
103,66385,A boy in his pajamas getting ready to play something on his guitar.,A boy sits in his pajamas with a guitar on his lap.,0,entailment,0.6718241572380066,0.6718241572380066,0.3137364387512207,0.014439395628869534,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
104,66614,A man playing a guitar on stage while a man plays drums in the background.,"Two men play on stage, hoping to get discovered by someone in the crowd.",1,neutral,0.99798583984375,0.0007622931734658778,0.99798583984375,0.0012519246665760875,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
105,66664,A group of people clapping as they watch a band together.,A group of people are clapping as they watch a rubber band.,2,neutral,0.004201808478683233,0.005317308474332094,0.9904809594154358,0.004201808478683233,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
106,67736,A dog is running through the ocean.,A dog is in the ocean.,0,entailment,0.9864975810050964,0.9864975810050964,0.010289848782122135,0.003212602809071541,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
107,67883,A guy catches or prepares to throw a football with various teammates and staff in the background at what looks like a school.,Students play lacrosse at a school.,2,contradiction,0.9496590495109558,0.0021110305096954107,0.04822998493909836,0.9496590495109558,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
108,68719,A person is doing a back flip while other people and cars go by in the background.,The person knows how to do a flip.,0,entailment,0.6130655407905579,0.6130655407905579,0.3841037154197693,0.0028306921012699604,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
109,69474,A man wearing black jacket poses with a smile.,A man is smiling.,0,entailment,0.991447925567627,0.991447925567627,0.007529356982558966,0.001022737822495401,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
110,69925,"There are two men engaged in a karate match, the man on the left kicks the man on the right in the face while the man on the right kicks the man on the left in the groin.",The men are in a torunament.,1,entailment,0.1910664588212967,0.5636187195777893,0.1910664588212967,0.245314821600914,False,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
111,69975,A man in a white shirt and shorts prepares to serve a tennis ball.,A man in a white shirt and shorts is ready to serve the beef wellington.,2,contradiction,0.9975041747093201,0.00017512752674520016,0.002320657018572092,0.9975041747093201,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
112,71150,A man stands by a building playing a wooden electric guitar.,A man is standing.,0,entailment,0.9967435002326965,0.9967435002326965,0.002668344648554921,0.0005881142569705844,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
113,71585,Two people in blue shirts are selling shoes in an outside market.,The shoes are being sold by the girls.,1,neutral,0.9097729921340942,0.003103087190538645,0.9097729921340942,0.08712392300367355,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
114,71825,A boy rides a game machine.,A boy is riding a toy pony.,2,contradiction,0.9992719292640686,0.00013375993876252323,0.0005943160504102707,0.9992719292640686,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
115,72005,A group of people playing a game with a tennis ball on a beach.,People running from a tsunami.,2,contradiction,0.999542236328125,5.23054477525875e-05,0.0004055456374771893,0.999542236328125,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
116,73032,A man wearing blue jeans is standing outside carrying a wide assortment of items and has a large dish on his head.,The man is walking a tight rope between two sky scrapers.,2,contradiction,0.9949851036071777,8.005701965885237e-05,0.004934795666486025,0.9949851036071777,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
117,73520,The woman is holding the harness that the brown and white dog is wearing.,The woman is walking the brown and white dog.,1,neutral,0.5820712447166443,0.02186550572514534,0.5820712447166443,0.39606326818466187,True,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
