audit_id,gold_label,gold_label_name,augmented_field,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_severity,review_error_types,review_notes
A0014,1,neutral,hypothesis,A person holding a small dog on a leash is bending over and looking through items.,The person is looking though several shopping bags.,A person holding a small dog on a leash is bending over and looking through items.,The person looks through several shopping bags.,The person is looking though several shopping bags.,The person looks through several shopping bags.,,,,,,
A0015,2,contradiction,hypothesis,A group of people digging a large hole.,A bulldozer digging a hole.,A group of people digging a large hole.,A bulldozer that's digging a hole.,A bulldozer digging a hole.,A bulldozer that's digging a hole.,,,,,,
A0016,1,neutral,hypothesis,Two men fix a bicycle on a trail.,Two men are out in the mountains.,Two men fix a bicycle on a trail.,Two men are in the mountains.,Two men are out in the mountains.,Two men are in the mountains.,,,,,,
A0017,0,entailment,hypothesis,"With flowers in the foreground, a man in a blue striped shirt bikes past a large white building.",A man is biking outside.,"With flowers in the foreground, a man in a blue striped shirt bikes past a large white building.",There's a man on his bike outside.,A man is biking outside.,There's a man on his bike outside.,,,,,,
A0018,2,contradiction,premise,A warehouse manager assisting an employee.,The manager is about to fire the employee.,A warehouse manager assists an employee.,The manager is about to fire the employee.,A warehouse manager assisting an employee.,A warehouse manager assists an employee.,,,,,,
A0019,2,contradiction,premise,People are watching a boy on a skateboard at the top of a skate ramp.,People are watching a girl on a skateboard at the top of a skate ramp.,People look at a boy on a skateboard at the top of a skateboard ramp.,People are watching a girl on a skateboard at the top of a skate ramp.,People are watching a boy on a skateboard at the top of a skate ramp.,People look at a boy on a skateboard at the top of a skateboard ramp.,,,,,,
A0020,0,entailment,hypothesis,"A woman holding a girl, who wears an apple themed coat.",Woman holds a girl wearing a coat.,"A woman holding a girl, who wears an apple themed coat.",A woman holds a girl in a coat.,Woman holds a girl wearing a coat.,A woman holds a girl in a coat.,,,,,,
A0021,2,contradiction,premise,A man in a black hat holds a small girl on his shoulders.,A man carries his son.,A man in a black hat holds a little girl on his shoulders.,A man carries his son.,A man in a black hat holds a small girl on his shoulders.,A man in a black hat holds a little girl on his shoulders.,,,,,,
A0022,1,neutral,hypothesis,A crowd of black people are gathered and one person has a backpack on.,A crowd of teenage black people are waiting for the school to open and one of them has a backpack.,A crowd of black people are gathered and one person has a backpack on.,A bunch of black teenagers are waiting for school to open and one of them has a backpack.,A crowd of teenage black people are waiting for the school to open and one of them has a backpack.,A bunch of black teenagers are waiting for school to open and one of them has a backpack.,,,,,,
A0023,0,entailment,premise,A baby with its eyes closed is holding a wooden toy and biting it.,The child is chewing its toys.,A baby with his eyes closed holds a wooden toy and bites it.,The child is chewing its toys.,A baby with its eyes closed is holding a wooden toy and biting it.,A baby with his eyes closed holds a wooden toy and bites it.,,,,,,
A0024,2,contradiction,hypothesis,A man sits in the floor slapping something while another woman watches and one stands in the kitchen talking.,Noone is watching the man.,A man sits in the floor slapping something while another woman watches and one stands in the kitchen talking.,No one's watching him.,Noone is watching the man.,No one's watching him.,,,,,,
A0025,2,contradiction,hypothesis,A group of people hold on to a long skinny object.,No one is holding on to an object,A group of people hold on to a long skinny object.,No one holds on to an object.,No one is holding on to an object,No one holds on to an object.,,,,,,
A0026,0,entailment,hypothesis,A male is leaping above white water.,A male leaps.,A male is leaping above white water.,A male jumps.,A male leaps.,A male jumps.,,,,,,
A0027,2,contradiction,premise,An older man with white hair and beard reading a map as he's walking through an unfamiliar city.,The man is sitting on a park bench.,An old man with white hair and a beard reading a map as he walks through an unknown city.,The man is sitting on a park bench.,An older man with white hair and beard reading a map as he's walking through an unfamiliar city.,An old man with white hair and a beard reading a map as he walks through an unknown city.,,,,,,
A0028,0,entailment,premise,Two women sit at desks in a large room with white walls.,The women are esitting in a white room.,Two women are sitting at offices in a large room with white walls.,The women are esitting in a white room.,Two women sit at desks in a large room with white walls.,Two women are sitting at offices in a large room with white walls.,,,,,,
A0029,0,entailment,premise,A man in a black shirt and blue jeans crawls on a table.,A man wearing a black shirt.,A man in a black shirt and blue jeans crawling on a table.,A man wearing a black shirt.,A man in a black shirt and blue jeans crawls on a table.,A man in a black shirt and blue jeans crawling on a table.,,,,,,
A0030,1,neutral,hypothesis,There are three people sitting on a bench outside a building and one man standing next to it looking at a newspaper.,The people are talking.,There are three people sitting on a bench outside a building and one man standing next to it looking at a newspaper.,People are talking.,The people are talking.,People are talking.,,,,,,
A0031,2,contradiction,premise,Two people with hard hats on standing on a brick wall.,No one is wearing protective gear.,Two people in hard hats standing on a brick wall.,No one is wearing protective gear.,Two people with hard hats on standing on a brick wall.,Two people in hard hats standing on a brick wall.,,,,,,
A0032,1,neutral,premise,A woman standing in front of a building as others go about their day.,I women waiting on friends outside a building.,A woman standing in front of a building while others spend their day.,I women waiting on friends outside a building.,A woman standing in front of a building as others go about their day.,A woman standing in front of a building while others spend their day.,,,,,,
A0033,1,neutral,premise,a group sitting at a table discussing a subject.,peoples are tested by group discussion.,A group sitting at a table discussing a topic.,peoples are tested by group discussion.,a group sitting at a table discussing a subject.,A group sitting at a table discussing a topic.,,,,,,
A0034,1,neutral,premise,A guy snowboarding down a pole that is on top of a blue vehicle into the snow.,A man performs snowboard stunts in a scored event.,A guy who's snowboarding on a pole that's on a blue vehicle in the snow.,A man performs snowboard stunts in a scored event.,A guy snowboarding down a pole that is on top of a blue vehicle into the snow.,A guy who's snowboarding on a pole that's on a blue vehicle in the snow.,,,,,,
A0035,1,neutral,premise,A man in a white shirt is working on a laptop while another man in a black shirt points to something on the screen with a pen.,The men are coworkers.,A man in a white shirt is working on a laptop while another man in a black shirt is pointing a pen at something on the screen.,The men are coworkers.,A man in a white shirt is working on a laptop while another man in a black shirt points to something on the screen with a pen.,A man in a white shirt is working on a laptop while another man in a black shirt is pointing a pen at something on the screen.,,,,,,
A0036,1,neutral,premise,The man in blue is punching the man with the red gloves while he blocks his face.,Floyd Mayweather is laying some smack down on a hapless challenger.,The man in blue hits the man with his red gloves while he blocks his face.,Floyd Mayweather is laying some smack down on a hapless challenger.,The man in blue is punching the man with the red gloves while he blocks his face.,The man in blue hits the man with his red gloves while he blocks his face.,,,,,,
A0037,1,neutral,hypothesis,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",Blonde man drinking water from a fountain in the park.,A blond man getting a drink of water from a fountain in the park.,Blonde man drinking water from a fountain in the park.,,,,,,
A0038,0,entailment,premise,"A young man is having his picture taken in front of a picture of an Asian sports team, while a child walks in a ball cap walks in front of the picture.",A young man gets his photo taken.,"A young man is photographed in front of a photo of an Asian sports team, while a child in a ball cap is walking in front of the photo.",A young man gets his photo taken.,"A young man is having his picture taken in front of a picture of an Asian sports team, while a child walks in a ball cap walks in front of the picture.","A young man is photographed in front of a photo of an Asian sports team, while a child in a ball cap is walking in front of the photo.",,,,,,
A0039,2,contradiction,hypothesis,A lady wearing a bonnet is sitting down with her hands on her lap.,A man is standing in a field.,A lady wearing a bonnet is sitting down with her hands on her lap.,There's a man standing in a field.,A man is standing in a field.,There's a man standing in a field.,,,,,,
A0040,2,contradiction,premise,A Team USA player passing the ball to another player.,The people do not have a ball.,A player on the U.S. team passes the ball to another player.,The people do not have a ball.,A Team USA player passing the ball to another player.,A player on the U.S. team passes the ball to another player.,,,,,,
