input_position,source_index,original_source_index,candidate_id,original_candidate_id,augmented_field,gold_label,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,semantic_forward,semantic_backward,semantic_min,current_semantic_forward,current_semantic_backward,current_semantic_min,original_nli_predicted_label,original_nli_gold_probability,candidate_nli_predicted_label,candidate_nli_gold_probability,nli_gold_probability_delta,nli_transition,hard_cue_changes,soft_cue_changes,change_ratio,accepted,reasons,review_categories,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_verdict,review_notes,secondary_sts_score,secondary_roberta_forward_entailment,secondary_roberta_backward_entailment,secondary_roberta_min_entailment,secondary_bart_forward_entailment,secondary_bart_backward_entailment,secondary_bart_min_entailment
10,4403,,4403:premise:fra_Latn,,premise,neutral,,,,,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique suit plays a pipe while people watch him.,0.9796615839004517,0.9840208888053894,0.9796615839004517,,,,neutral,0.9945354461669922,neutral,0.989096999168396,,,[],"[{""group"":""quantifier"",""original"":{""some"":1},""candidate"":{},""field"":""premise""}]",0.2571428571428571,True,[],,,,,,,0.8310784101486206,0.9936133027076721,0.3984338045120239,0.3984338045120239,,,
62,43604,,43604:premise:fra_Latn,,premise,contradiction,,,,,Two women eating food with sunglasses on.,Two women eating with sunglasses.,0.9957950115203857,0.9656963348388672,0.9656963348388672,,,,contradiction,0.9991143345832825,contradiction,0.9991897940635681,,,[],"[{""group"":""space"",""original"":{""on"":1},""candidate"":{},""field"":""premise""}]",0.10810810810810811,True,[],,,,,,,0.9802102446556091,0.9885625839233398,0.5077546238899231,0.5077546238899231,,,
398,277346,,277346:premise:fra_Latn,,premise,entailment,,,,,A young male holding a fishing pole.,A young male holding a fishing rod.,0.9933163523674011,0.9930658340454102,0.9930658340454102,,,,entailment,0.993519127368927,entailment,0.9911513924598694,,,[],[],0.07042253521126762,True,[],,,,,,,0.7911200523376465,0.5162159204483032,0.7277551293373108,0.5162159204483032,,,
618,421310,,421310:hypothesis:fra_Latn,,hypothesis,entailment,,,,,"A person, whose face is blocked, is working on a wooden loom.",A person with a blocked face works on a wooden weaver.,0.960461437702179,0.9805117845535278,0.960461437702179,,,,entailment,0.9957113265991211,entailment,0.9641442894935608,,,[],[],0.28695652173913044,True,[],,,,,,,0.843838095664978,0.5376030802726746,0.8952896595001221,0.5376030802726746,,,
364,251441,,251441:hypothesis:fra_Latn,,hypothesis,contradiction,,,,,A banna is nailed to the wall.,There's a banana nailed to the wall.,0.9968175888061523,0.9971311092376709,0.9968175888061523,,,,contradiction,0.9952608942985535,contradiction,0.990223228931427,,,[],[],0.18181818181818177,True,[],,,,,,,0.5558006167411804,0.614471435546875,0.7093197107315063,0.614471435546875,,,
445,301270,,301270:hypothesis:fra_Latn,,hypothesis,entailment,,,,,The little girl is coloring on a white sheet.,The little girl paints on a white sheet.,0.9900699257850647,0.9924790859222412,0.9900699257850647,,,,entailment,0.9921446442604065,entailment,0.9971510767936707,,,[],[],0.15294117647058825,True,[],,,,,,,0.6178236603736877,0.9456209540367126,0.5624182224273682,0.5624182224273682,,,
618,421310,,421310:premise:fra_Latn,,premise,entailment,,,,,"A person, whose face is blocked, is working on a large wooden loom.",A person with a blocked face works on a large wooden weaver.,0.9636885523796082,0.9836710691452026,0.9636885523796082,,,,entailment,0.9957113265991211,entailment,0.9846476316452026,,,[],[],0.25984251968503935,True,[],,,,,,,0.8343913555145264,0.5783923268318176,0.9038298726081848,0.5783923268318176,,,
748,512053,,512053:hypothesis:fra_Latn,,hypothesis,contradiction,,,,,Nobody is performing.,No one's playing.,0.9962934851646423,0.9958156943321228,0.9958156943321228,,,,contradiction,0.9995456337928772,contradiction,0.9997307658195496,,,[],"[{""group"":""negation"",""original"":{""nobody"":1},""candidate"":{""no"":1},""field"":""hypothesis""}]",0.4736842105263158,True,[],,,,,,,0.5978107452392578,0.9814233183860779,0.989316463470459,0.9814233183860779,,,
301,207276,,207276:hypothesis:fra_Latn,,hypothesis,entailment,,,,,There is food in the dish.,There's food in the plate.,0.9836570620536804,0.995442271232605,0.9836570620536804,,,,entailment,0.9787431359291077,entailment,0.95039302110672,,,[],[],0.23076923076923073,True,[],,,,,,,0.6381456255912781,0.9702529311180115,0.978377103805542,0.9702529311180115,,,
242,166345,,166345:hypothesis:fra_Latn,,hypothesis,neutral,,,,,watched by a group,observed by a group,0.9914344549179077,0.9929113984107971,0.9914344549179077,,,,neutral,0.9992368221282959,neutral,0.9990070462226868,,,[],[],0.29729729729729726,True,[],,,,,,,0.6756428480148315,0.9756649136543274,0.9733701348304749,0.9733701348304749,,,
181,117651,,117651:hypothesis:fra_Latn,,hypothesis,entailment,,,,,A dog is pooping.,A dog does shit.,0.9926437735557556,0.96269690990448,0.96269690990448,,,,entailment,0.9940306544303894,entailment,0.9929770827293396,,,[],[],0.3939393939393939,True,[],,,,,,,0.6966562867164612,0.9932517409324646,0.97852623462677,0.97852623462677,,,
400,277576,,277576:premise:fra_Latn,,premise,contradiction,,,,,A golfer wearing a striped red polo shirt and white pants watches his drive after swinging.,A golfer in a striped red polo and white pants looks at his car after swinging.,0.9948379397392273,0.9898780584335327,0.9898780584335327,,,,contradiction,0.9994262456893921,contradiction,0.9992571473121643,,,[],"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""premise""}]",0.16470588235294115,True,[],,,,,,,0.7429068684577942,0.7062471508979797,0.7219580411911011,0.7062471508979797,,,
711,486098,,486098:premise:fra_Latn,,premise,entailment,,,,,A professor explaining a University level lecture.,A professor explaining a university lecture.,0.992057740688324,0.9904800057411194,0.9904800057411194,,,,entailment,0.8895876407623291,entailment,0.9202702045440674,,,[],[],0.06382978723404253,True,[],,,,,,,0.9174686670303345,0.9857618808746338,0.7369763255119324,0.7369763255119324,,,
474,319482,,319482:hypothesis:fra_Latn,,hypothesis,entailment,,,,,Two boys stretching for the sky,Two Boys Stretching to Heaven,0.9843989610671997,0.993966281414032,0.9843989610671997,,,,entailment,0.9409997463226318,entailment,0.9359678626060486,,,[],[],0.19999999999999996,True,[],,,,,,,0.7382628321647644,0.973594605922699,0.9784215688705444,0.973594605922699,,,
253,171597,,171597:hypothesis:fra_Latn,,hypothesis,neutral,,,,,A small girl runs along a pathway towards a house.,A little girl runs along a road to a house.,0.9970613121986389,0.9979671835899353,0.9970613121986389,,,,neutral,0.9969927072525024,neutral,0.9978660941123962,,,[],[],0.22580645161290325,True,[],,,,,,,0.8590964674949646,0.7444851398468018,0.9559677839279175,0.7444851398468018,,,
655,448093,,448093:premise:fra_Latn,,premise,entailment,,,,,"A security guard stands by a metal, lighted sculpture.",A security guard stands near a burning metal sculpture.,0.9680427312850952,0.9949285984039307,0.9680427312850952,,,,entailment,0.996647298336029,entailment,0.9952267408370972,,,[],"[{""group"":""space"",""original"":{},""candidate"":{""near"":1},""field"":""premise""}]",0.21100917431192656,True,[],,,,,,,0.7468477487564087,0.9932543635368347,0.9913569688796997,0.9913569688796997,,,
84,56607,,56607:premise:fra_Latn,,premise,entailment,,,,,A man dressed in all green with his face covered by a bandanna is working outdoors with heavy machinery.,A man dressed in green clothes and covered in bandanas works outside with heavy machinery.,0.9646048545837402,0.9633802175521851,0.9633802175521851,,,,entailment,0.9977753758430481,entailment,0.9876981377601624,,,[],"[{""group"":""quantifier"",""original"":{""all"":1},""candidate"":{},""field"":""premise""},{""group"":""space"",""original"":{""in"":1},""candidate"":{""outside"":1,""in"":2},""field"":""premise""}]",0.19587628865979378,True,[],,,,,,,0.8647338151931763,0.9903358221054077,0.7553249597549438,0.7553249597549438,,,
752,513211,,513211:premise:fra_Latn,,premise,neutral,,,,,two men working a construction job,two men working in a construction company,0.9839890599250793,0.995488703250885,0.9839890599250793,,,,neutral,0.9990469813346863,neutral,0.9992108345031738,,,[],"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""premise""}]",0.1466666666666666,True,[],,,,,,,0.9175838828086853,0.7574769258499146,0.9505918622016907,0.7574769258499146,,,
314,215221,,215221:premise:fra_Latn,,premise,neutral,,,,,A waveboarder skims through the surf at sunset.,A surfer crosses the wave at sunset.,0.995593249797821,0.9914189577102661,0.9914189577102661,,,,neutral,0.9949972629547119,neutral,0.9941800832748413,,,[],"[{""group"":""space"",""original"":{""through"":1},""candidate"":{},""field"":""premise""}]",0.5903614457831325,True,[],,,,,,,0.7623723745346069,0.9630483984947205,0.7999269366264343,0.7999269366264343,,,
320,217803,,217803:premise:fra_Latn,,premise,entailment,,,,,Many people stand on an overpass looking over.,A lot of people stand on a bridge and watch.,0.9922266006469727,0.9866074323654175,0.9866074323654175,,,,entailment,0.9786309003829956,entailment,0.9831498265266418,,,[],"[{""group"":""quantifier"",""original"":{""many"":1},""candidate"":{},""field"":""premise""},{""group"":""space"",""original"":{""over"":1,""on"":1},""candidate"":{""on"":1},""field"":""premise""}]",0.48888888888888893,True,[],,,,,,,0.7696093320846558,0.984131395816803,0.9830458164215088,0.9830458164215088,,,
778,531157,,531157:premise:fra_Latn,,premise,contradiction,,,,,A girl sitting in the back of a cart full of various belongings.,A girl sitting in the back of a wagon full of various items.,0.9874833822250366,0.9921896457672119,0.9874833822250366,,,,contradiction,0.9964371919631958,contradiction,0.9983067512512207,,,[],[],0.14516129032258063,True,[],,,,,,,0.7760118842124939,0.9640763998031616,0.9822390079498291,0.9640763998031616,,,
