input_position,source_index,candidate_id,augmented_field,old_accepted,real_accepted,old_reasons,real_reasons,source_nli_status,semantic_min,candidate_nli_gold_probability,generation_truncated,decision_change,difference_category
51,37727,37727:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9879141449928284,0.9990366697311401,False,MATCH,none
51,37727,37727:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9841206669807434,0.998988926410675,False,MATCH,none
53,38101,38101:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9950405955314636,0.9986128807067871,False,MATCH,none
54,38352,38352:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9934139847755432,0.9993332028388977,False,MATCH,none
54,38352,38352:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9977225661277771,0.9994039535522461,False,MATCH,none
55,40045,40045:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9940527081489563,0.9994814991950989,False,MATCH,none
56,40130,40130:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9975771307945251,0.9963585734367371,False,MATCH,none
57,40441,40441:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9962092638015747,0.925004243850708,False,MATCH,none
58,41993,41993:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9963470101356506,0.939568042755127,False,MATCH,none
59,42372,42372:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.981825053691864,0.9897957444190979,False,MATCH,none
61,43588,43588:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9916390776634216,0.9992528557777405,False,MATCH,none
61,43588,43588:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9948115348815918,0.9995180368423462,False,MATCH,none
62,43604,43604:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9656963348388672,0.9991897940635681,False,MATCH,none
62,43604,43604:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9966756105422974,0.9992027878761292,False,MATCH,none
63,44726,44726:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9956954717636108,0.9911562204360962,False,MATCH,none
64,45940,45940:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9751476049423218,0.8754958510398865,False,MATCH,none
65,46018,46018:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9967964291572571,0.990346372127533,False,MATCH,none
66,46166,46166:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9956477284431458,0.9826149940490723,False,MATCH,none
66,46166,46166:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.978054940700531,0.9768064618110657,False,MATCH,none
68,48670,48670:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9966893196105957,0.9804713726043701,False,MATCH,none
68,48670,48670:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9975912570953369,0.9614853858947754,False,MATCH,none
69,48793,48793:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9954804182052612,0.9905185103416443,False,MATCH,none
70,48999,48999:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9949542880058289,0.998033344745636,False,MATCH,none
72,49929,49929:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9754267930984497,0.9990143775939941,False,MATCH,none
72,49929,49929:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9977306723594666,0.9991382360458374,False,MATCH,none
73,50615,50615:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.996086597442627,0.9993391633033752,False,MATCH,none
76,52808,52808:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9964189529418945,0.8604274392127991,False,MATCH,none
78,53773,53773:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9941279888153076,0.9985520243644714,False,MATCH,none
78,53773,53773:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9943838119506836,0.9987524747848511,False,MATCH,none
80,54941,54941:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9970856308937073,0.9971457123756409,False,MATCH,none
81,55266,55266:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9940705895423889,0.9975228905677795,False,MATCH,none
82,55448,55448:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9964810609817505,0.9992203712463379,False,MATCH,none
83,56475,56475:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9968400001525879,0.9917101263999939,False,MATCH,none
84,56607,56607:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9633802175521851,0.9876981377601624,False,MATCH,none
85,56660,56660:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9941962957382202,0.9922003149986267,False,MATCH,none
86,56738,56738:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9971985816955566,0.9972955584526062,False,MATCH,none
88,58539,58539:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9941593408584595,0.8844305276870728,False,MATCH,none
89,58989,58989:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.994529664516449,0.9990593791007996,False,MATCH,none
91,60930,60930:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9885653853416443,0.9669445753097534,False,MATCH,none
91,60930,60930:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9918237328529358,0.9921250939369202,False,MATCH,none
93,62478,62478:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9941719174385071,0.9828693270683289,False,MATCH,none
94,62874,62874:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.989018976688385,0.9984171390533447,False,MATCH,none
94,62874,62874:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9005781412124634,0.997847318649292,False,MATCH,none
95,62914,62914:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9917330741882324,0.9692608118057251,False,MATCH,none
95,62914,62914:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9939975738525391,0.973518431186676,False,MATCH,none
96,63473,63473:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9286741614341736,0.9833282232284546,False,MATCH,none
96,63473,63473:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9735499620437622,0.9932312965393066,False,MATCH,none
98,64203,64203:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9966914653778076,0.9923802614212036,False,MATCH,none
100,64378,64378:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9279688000679016,0.9994194507598877,False,MATCH,none
101,64777,64777:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9808278679847717,0.9924812316894531,False,MATCH,none
101,64777,64777:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9783731698989868,0.9881511926651001,False,MATCH,none
102,66214,66214:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9946183562278748,0.9881884455680847,False,MATCH,none
102,66214,66214:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9907363057136536,0.9732239246368408,False,MATCH,none
104,66614,66614:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9939934611320496,0.9982454776763916,False,MATCH,none
106,67736,67736:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9378639459609985,0.950566291809082,False,MATCH,none
106,67736,67736:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9958823919296265,0.9927678108215332,False,MATCH,none
107,67883,67883:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9895808696746826,0.9446806311607361,False,MATCH,none
107,67883,67883:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9932594895362854,0.9720247983932495,False,MATCH,none
109,69474,69474:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9966666102409363,0.992552638053894,False,MATCH,none
111,69975,69975:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9951103329658508,0.9977522492408752,False,MATCH,none
112,71150,71150:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9973686933517456,0.9971712231636047,False,MATCH,none
112,71150,71150:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9975680708885193,0.9959924817085266,False,MATCH,none
113,71585,71585:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9946909546852112,0.9593865275382996,False,MATCH,none
113,71585,71585:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9956507086753845,0.881853461265564,False,MATCH,none
115,72005,72005:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9924029111862183,0.9957411289215088,False,MATCH,none
116,73032,73032:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9768606424331665,0.9626449942588806,False,MATCH,none
118,73554,73554:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9979954957962036,0.9971684813499451,False,MATCH,none
119,73820,73820:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9933866858482361,0.9758901000022888,False,MATCH,none
120,74358,74358:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9920390844345093,0.9959797859191895,False,MATCH,none
121,75090,75090:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9873684048652649,0.9936978220939636,False,MATCH,none
125,76517,76517:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.995595395565033,0.9850014448165894,False,MATCH,none
126,77440,77440:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9967328310012817,0.9828145503997803,False,MATCH,none
126,77440,77440:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9967783093452454,0.9963228702545166,False,MATCH,none
127,78138,78138:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9809335470199585,0.9996042847633362,False,MATCH,none
127,78138,78138:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9949880838394165,0.9995816349983215,False,MATCH,none
128,78367,78367:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9975211024284363,0.999563992023468,False,MATCH,none
129,79799,79799:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9972732663154602,0.9988194108009338,False,MATCH,none
129,79799,79799:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9968878626823425,0.9988816380500793,False,MATCH,none
130,80395,80395:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9970362186431885,0.9991969466209412,False,MATCH,none
130,80395,80395:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9933502078056335,0.9991231560707092,False,MATCH,none
131,81737,81737:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9953694939613342,0.9994657635688782,False,MATCH,none
131,81737,81737:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9955528378486633,0.9990068078041077,False,MATCH,none
134,84582,84582:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9781470894813538,0.9757924675941467,False,MATCH,none
135,87146,87146:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9954213500022888,0.9936607480049133,False,MATCH,none
135,87146,87146:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9837853908538818,0.9948424696922302,False,MATCH,none
136,87701,87701:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9966525435447693,0.9967670440673828,False,MATCH,none
136,87701,87701:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9911376237869263,0.9923227429389954,False,MATCH,none
137,88157,88157:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9887646436691284,0.9985446929931641,False,MATCH,none
137,88157,88157:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9966188669204712,0.9995612502098083,False,MATCH,none
139,88424,88424:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9949488639831543,0.9947713017463684,False,MATCH,none
140,88539,88539:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9948281645774841,0.9253979921340942,False,MATCH,none
140,88539,88539:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9794567227363586,0.9567514061927795,False,MATCH,none
141,89957,89957:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.996755063533783,0.9976755976676941,False,MATCH,none
142,90459,90459:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9960337281227112,0.9720678329467773,False,MATCH,none
146,95485,95485:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9928991794586182,0.997048556804657,False,MATCH,none
146,95485,95485:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9959427714347839,0.9963545799255371,False,MATCH,none
147,95970,95970:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9934250116348267,0.9994901418685913,False,MATCH,none
148,96110,96110:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9896644949913025,0.9995706677436829,False,MATCH,none
150,97491,97491:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9973211884498596,0.9993346333503723,False,MATCH,none
150,97491,97491:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9961007833480835,0.9993184804916382,False,MATCH,none
153,99482,99482:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9978280663490295,0.9895766973495483,False,MATCH,none
153,99482,99482:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9981240630149841,0.990014910697937,False,MATCH,none
155,99871,99871:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9924665093421936,0.954091489315033,False,MATCH,none
155,99871,99871:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9972155094146729,0.9333650469779968,False,MATCH,none
157,101993,101993:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9952797889709473,0.997316300868988,False,MATCH,none
164,105325,105325:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9930758476257324,0.9388521313667297,False,MATCH,none
165,105872,105872:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9927672147750854,0.9646683931350708,False,MATCH,none
166,107185,107185:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9973324537277222,0.9988118410110474,False,MATCH,none
166,107185,107185:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.992479681968689,0.9976189732551575,False,MATCH,none
168,108589,108589:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9877356886863708,0.9984424710273743,False,MATCH,none
172,111292,111292:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9964724779129028,0.9993662238121033,False,MATCH,none
172,111292,111292:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9892422556877136,0.9993019104003906,False,MATCH,none
176,113482,113482:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9932231903076172,0.9818269610404968,False,MATCH,none
177,114570,114570:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9919899106025696,0.99339359998703,False,MATCH,none
179,117040,117040:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9941250085830688,0.993438184261322,False,MATCH,none
179,117040,117040:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9927835464477539,0.9891200065612793,False,MATCH,none
181,117651,117651:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9952267408370972,0.9904897212982178,False,MATCH,none
181,117651,117651:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.96269690990448,0.9929770827293396,False,MATCH,none
182,118176,118176:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9859583973884583,0.9990134239196777,False,MATCH,none
184,118275,118275:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9968376159667969,0.9994195699691772,False,MATCH,none
184,118275,118275:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9964653253555298,0.9989261031150818,False,MATCH,none
185,119934,119934:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.986004650592804,0.9323623776435852,False,MATCH,none
186,121762,121762:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9940251708030701,0.9993507266044617,False,MATCH,none
186,121762,121762:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9935477375984192,0.9993129968643188,False,MATCH,none
187,123524,123524:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9877675771713257,0.9996335506439209,False,MATCH,none
188,123536,123536:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.997458279132843,0.9975449442863464,False,MATCH,none
188,123536,123536:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9973107576370239,0.9975221753120422,False,MATCH,none
189,124930,124930:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9953017234802246,0.9920949339866638,False,MATCH,none
189,124930,124930:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9935033917427063,0.9978882670402527,False,MATCH,none
190,125168,125168:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9954148530960083,0.9975547194480896,False,MATCH,none
191,125334,125334:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9958475232124329,0.9988459348678589,False,MATCH,none
192,126619,126619:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9957972764968872,0.9623063206672668,False,MATCH,none
192,126619,126619:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9959639310836792,0.9937113523483276,False,MATCH,none
193,126867,126867:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9903823733329773,0.9972003698348999,False,MATCH,none
195,129526,129526:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9914137125015259,0.9991668462753296,False,MATCH,none
196,129767,129767:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.977899968624115,0.9996525049209595,False,MATCH,none
198,132011,132011:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9931992888450623,0.9982289671897888,False,MATCH,none
202,135071,135071:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9974170923233032,0.9971668124198914,False,MATCH,none
203,135294,135294:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9844921827316284,0.9939390420913696,False,MATCH,none
203,135294,135294:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9925766587257385,0.9858864545822144,False,MATCH,none
207,138010,138010:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9977993369102478,0.9995043277740479,False,MATCH,none
208,138280,138280:premise:fra_Latn,premise,True,True,[],[],RELIABLE_GOLD,0.9891848564147949,0.9918736815452576,False,MATCH,none
208,138280,138280:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9909537434577942,0.9882794618606567,False,MATCH,none
209,138332,138332:hypothesis:fra_Latn,hypothesis,True,True,[],[],RELIABLE_GOLD,0.9909890294075012,0.979345440864563,False,MATCH,none
