input_position,source_index,premise,hypothesis
43,29415,"A man is operating a weed eater behind a building, and there is a red van nearby.",A man is working inside.
44,29765,A man on a bicycle rides up the side of a tree.,A man on a skateboard.
45,30056,A man with glasses and a white shirt playing a red guitar.,Billy decided to wear his white shirt with his new glasses for his guitar recital.
46,32175,A child shows other kids his still packaged toy.,A child has a Buzz Lightyear doll.
47,32579,"Two musicians are carrying speakers, guitars, and musical equipment.",The musicians are going to band practice.
48,32673,A man sits in the floor slapping something while another woman watches and one stands in the kitchen talking.,Noone is watching the man.
49,34221,Two men fix a bicycle on a trail.,Two men are out in the mountains.
50,34858,Wolf-like dog chasing white wiffle ball through a green field.,The dog is in the field.
51,37727,"A person holding up a red, yellow and purple striped flag on a street.",The person holds the flag of their home country.
52,38085,"Two young girls are playing on swings, and one is holding the other girls swing ""still.""",A girl is telling her friend it is her turn to swing.
53,38101,A girl running through uneven sand with some withered grass.,The girl is not wearing shoes.
54,38352,A baby that is smiling big.,A kid is crying.
55,40045,Former First Lady Laura Bush wearing a peach colored dress speaks at a conference.,Laura Bush reads a newspaper while eating an orange.
56,40130,A man sitting on a rock in a grass field talking on his cellphone.,The man is outside talking on his cellphone.
57,40441,"two men, one in a red shirt, running towards a Frisbee.",Two guys trying to catch the same Frisbee
58,41993,A man wearing glasses sitting at a desk with a large pile of papers.,The office worker is thinking.
59,42372,Young asian boy sits down and reads a book at a book fair as a female looks on.,The boy is Asian.
60,43495,A man with black gloves sits on someone's shoulders to take a picture.,The man is short.
61,43588,Two women are wearing sunglasses and eating food.,Two men are playing baseball.
62,43604,Two women eating food with sunglasses on.,Two women are working on a puzzle.
63,44726,A boy is checking a system on the computer.,A boy is using a computer.
64,45940,A dog runs while holding an object in its mouth.,The dog brings the ball back to his owner.
65,46018,Two boys in yellow shirts walk in a field.,The boys are wearing soccer jerseys.
66,46166,Lovers kiss before they part.,lovers are kissing
67,46771,"Girl with glasses wearing a black horizontally striped shirt, a blue tuque, and jeans sitting on a cobblestone sidewalk and street.",A girl is waiting for her ride
68,48670,Two children are sitting shirtless on a trampoline.,The children are outside.
69,48793,A man in a jean jacket walking through town.,Man takes a walk.
70,48999,A person does a jump on a bike in a natural setting.,A person is jumping over a bench on a bike.
71,49580,A young boy looks out the window while traveling.,a child is in a moving vehicle
72,49929,A crowd full of people are holding flags and signs.,A crowd of protesters hold anti abortion signs.
73,50615,A ballet dancer poses at a photo shoot.,A football player taking a hit
74,51049,A young girl and an older man are checking out at the food store.,The two people have just bought some food.
75,52691,A street which is lined with many motorcycles.,There is a parade of motorcycles.
76,52808,A warehouse manager assisting an employee.,The manager is about to fire the employee.
77,53250,Man lining up a putt while playing mini-golf.,A man plays in the PGA tournament.
78,53773,A man looks across a city street at night.,A man looks for criminal activity in the dark streets.
79,54712,A man breakdances as a crowd watches.,A man dances in front of a crowd.
80,54941,The girl in the pink California Santa Cruz sweatshirt was cutting cheese for the picnic.,A girl cuts the cheese.
81,55266,"A man wearing a cowboy hat, overalls, and a white shirt is pointing at his music sheet and looking at someone in confusion.",The man is naked
82,55448,A woman with blond-hair and a pink shirt holds a young boy who appears to be sad.,A woman and a young boy are laughing.
83,56475,The dog is running around the cow.,An animal is moving.
84,56607,A man dressed in all green with his face covered by a bandanna is working outdoors with heavy machinery.,A man with a bandanna is outside.
85,56660,A woman with a drink and a toy.,a woman is lifting weights at the olympics
86,56738,A woman scuba diving with a large sea turtle.,A woman captures an eel for her aquarium.
87,58153,A group of runners on a road outside wearing short-sleeved shirts and shorts run towards the camera while a group of bystanders lining the street watch.,the camera photographs a race
88,58539,"A man washing his shirt, in a fountain in a park.",The man is living out of his car since losing his job 5 months ago.
89,58989,A man in a blue shirt is taking a picture.,A man is taking a picture of a pretty lady.
90,60384,Two basketball players from duke are looking upward.,Two teammates are checking the scoreboard.
91,60930,A man with black hair is wearing a red and yellow shirt and has a yellow clown nose and face makeup on.,A man is dressed up like a clown.
92,61057,A woman and three children are picking something out of a blue trashcan.,A woman and kids are picking up trash.
93,62478,A dog is standing in the snow watching the camera,The dog is experiencing cold weather.
94,62874,"A man in glasses and a dust mask makes chains under a sign reading ""laut jaya.""",A man is indoors watching TV.
95,62914,A man in a blue shirt playing the drums and singing.,A man is playing drums and singing at the same time.
96,63473,This African-American man is talking on the phone.,A man is communicating
97,63627,The cylinder's pattern could be described as red chevron.,The cylinder was painted by someone.
98,64203,A child sleeps under a pink pillow.,The child is asleep
99,64354,two men working in a bakery,Two men checking books out of a library.
100,64378,Four people swinging on a swing set.,The four people are siblings.
101,64777,Two girls look through a microscope.,Girls are looking through an instrument
102,66214,These are very well groomed animals.,These are animals.
103,66385,A boy in his pajamas getting ready to play something on his guitar.,A boy sits in his pajamas with a guitar on his lap.
104,66614,A man playing a guitar on stage while a man plays drums in the background.,"Two men play on stage, hoping to get discovered by someone in the crowd."
105,66664,A group of people clapping as they watch a band together.,A group of people are clapping as they watch a rubber band.
106,67736,A dog is running through the ocean.,A dog is in the ocean.
107,67883,A guy catches or prepares to throw a football with various teammates and staff in the background at what looks like a school.,Students play lacrosse at a school.
108,68719,A person is doing a back flip while other people and cars go by in the background.,The person knows how to do a flip.
109,69474,A man wearing black jacket poses with a smile.,A man is smiling.
110,69925,"There are two men engaged in a karate match, the man on the left kicks the man on the right in the face while the man on the right kicks the man on the left in the groin.",The men are in a torunament.
111,69975,A man in a white shirt and shorts prepares to serve a tennis ball.,A man in a white shirt and shorts is ready to serve the beef wellington.
112,71150,A man stands by a building playing a wooden electric guitar.,A man is standing.
113,71585,Two people in blue shirts are selling shoes in an outside market.,The shoes are being sold by the girls.
114,71825,A boy rides a game machine.,A boy is riding a toy pony.
115,72005,A group of people playing a game with a tennis ball on a beach.,People running from a tsunami.
116,73032,A man wearing blue jeans is standing outside carrying a wide assortment of items and has a large dish on his head.,The man is walking a tight rope between two sky scrapers.
117,73520,The woman is holding the harness that the brown and white dog is wearing.,The woman is walking the brown and white dog.
118,73554,"A man in a neon shirt, khakis, and an orange hard hat walks by a mulch machine.",A man is walking.
119,73820,"A young boy wearing a yellow shirt and green pants pushing a baby stroller in front of houses with red and white roofs, red doors, white railing and red floor planks.",A boy walking outdoors.
120,74358,A group examines a run down house.,A woman feeds a tiger.
121,75090,A runner is leaping over hurdles.,a runner leaps
122,75277,A couple embraces on a busy street.,A couple reunites
123,75708,"A baseball pitcher wearing a blue, red and white uniform is about to throw a baseball.",A baseball player prepares to throw a ball at a batter.
124,76076,An individual cutting up a vegetable in their kitchen with a knife.,A person making a dinner for his family.
125,76517,One climber helps another in the snow.,The two men are walking unobstructed in the snow.
126,77440,Two children work on a project with woman.,The woman is with her friends.
127,78138,a woman bends down to reach in a plastic bag.,A woman is putting a box on a shelf.
128,78367,"Two people sit in handicapped seats, one touching her ear while the other touches her eyes.",two individuals run around with guns
129,79799,A crowd of black people are gathered and one person has a backpack on.,A crowd of teenage black people are waiting for the school to open and one of them has a backpack.
130,80395,A girl at a park cooking lunch.,A girl is making a hot dog for lunch.
131,81737,This is an outdoor vegetable market in possibly Southeast Asia where please are selling their fruits and vegetables.,This is an outdoor market where people buy meat.
132,82658,A blond woman dressed in black and red is running.,"A young woman is working out at her local high-school's track, running laps."
133,83167,A man with long black hair wearing a black shirt and multi-color tie is using a electronic board with lights on it.,His hair is a different color than his shirt.
134,84582,A man smiling while shining another man's shoes.,A human smiling
135,87146,"A man with glasses is reading a book while lying in a red, orange and yellow striped hammock next to a sidewalk.",A person reading
136,87701,A girl wearing a white coat standing in a fountain.,A girl wearing a white coat standing.
137,88157,Children people run and play near a fountain.,People are going into the restaurant.
138,88243,"A man with a white hard hat with a black logo in the front of the hat holding part of a sign with numbers on it, while standing on a balcony.",The balcony is fully built.
139,88424,Two young women are writing on a banner.,Two women are writing.
140,88539,A group of adults viewing a presentation in a school gymnasium.,adults learning something
141,89957,Two men in sleeveless shirts and shorts getting a beverage.,two men are getting a drink
142,90459,A possible woman dressed as a belly dancer holds out a cloth with beads on it.,Maybe a woman is wearing a weird outfit and dances.
143,93659,A man in a white shirt with a plate of food sits outside in folding chairs with a little girl who is writing.,The small girl is drawing a picture of the man sleeping next to her.
144,93870,This is a child in a snowy landscape sledding down a hill.,The child is sledding through the snow.
145,93979,A man stands outside of a doorway on his cellphone.,A man with empty hands stands outside a doorway.
146,95485,"A woman holding a girl, who wears an apple themed coat.",Woman holds a girl wearing a coat.
147,95970,Many two-person kayaks fill a river surrounded by trees.,People are in a stadium.
148,96110,A man stands on stage with a fireworks going off beside of him.,The man is sitting on the stage.
149,97014,An elderly middle-eastern woman is about to smoke a pack of cigarettes.,A woman is about to harm her body.
150,97491,The small dog wearing a tutu stands on its hind legs.,There is a dog laying down
151,97760,"The backs of two Asian girls, wearing red tops and holding red flags.",Two girls are holding red flags.
152,97761,One child is pointing to the sky and another is trying to block the sun to look,The children are playing in the indoor playground.
153,99482,A large brown dog is digging in the sand.,A dog is digging outside.
154,99704,"Runners, some in costume, in a St Paddy's day Marathon run in the streets as people watch.",The runners are almost finished with the St. Patrick's Day race.
155,99871,A woman sitting at a desk staring at a computer screen.,A woman is at work.
156,101119,A man with two dogs on a beach,A man is with two deer on a beach.
157,101993,A woman adjusts her sunglasses.,A woman wears sunglasses.
158,103011,A group of people surrounding the American flag.,People are around a Russian flag
159,103148,People hanging about in a crowded cafe.,People are in a cafe.
160,103393,Three children look through a telescope in the forest.,Children are looking at the stars.
161,104123,A gloved man palms forward in front of arranged clothes.,A man jumps forward in front of dogs.
162,104228,A man is playing guitar on the otherwise empty sidewalk of a street lined with vibrant homes.,A guitar player is playing on the sidewalk in front of his house.
163,104604,Two people are sitting at an outdoor cafe in front of an old building.,There are people sitting in a building.
164,105325,Many people ride their bikes down a bike path in a city.,A group of bike riders racing.
165,105872,A man shovels snow off of a roof while another stands in the contraption that allowed them to reach the high place.,One man is on the roof
166,107185,A dad is entertaining his family by playing the guitar.,The dad plays country music under the starry night.
167,107232,Children getting picked up from sports practice.,children getting done with sports practice
168,108589,A group of people are dressed in multicolored clothes while performing an act.,One of the people is wearing green
169,108810,"A man wearing white pants stretches out his arms as he stands on a podium, while two men and a woman are looking the other way.",A man is stretching by a podium.
170,109794,People filling a large black container with water.,people are drinking gatorade because water sucks
171,109896,"A young Asian man wearing a conical straw hat holding straw goods, and another person in the back to the left holding straw goods.",Two young Asian men are selling their wares at a market in China.
172,111292,A man wearing a white t-shirt looking away from the camera.,The is wearing a red t-shirt.
173,111766,A dog is running on the sand whilst chasing a ball.,the dog is on the couch in the living room
174,112647,"An edited picture of a couple kissing, one is holding a bouquet of flowers.",The mom kissed her son on the forehead.
175,113130,A person wearing a red shirt sitting in the middle of fresh fruit and vegetables.,A person is surrounded by food.
176,113482,"Construction worker, welding on high beam.",The worker gets paid
177,114570,A man in a green parks looks over his shoulder at a policeman who is helping an injured bicyclist lying in the street.,man looks at policeman
178,115153,A woman in dark sunglasses checks her mobile phone while two woman walk the city crosswalk.,A girl drops her phone in a stream in the country side.
179,117040,A group of ladies with computers sit behind a table while people on the other side purchase something.,People are purchasing necessary items.
180,117167,An old man in front of an Iron Man truck.,The man is working on the engine of the Iron Man truck.
181,117651,A dog taking a poop in the street.,A dog is pooping.
182,118176,A young girl in a red shirt hitting a tennis ball with a pink racket,The girl is winning the tennis match.
183,118210,"A group of African boys of different ages tending to their cattle, with bushes in the background and small wagon in the center of the picture.",The boys are slopping the hogs.
184,118275,A group of people digging a large hole.,A bulldozer digging a hole.
185,119934,A man is bending down repairing a house.,The man is near the house.
186,121762,A dog walking through the water at the ocean.,A cat walking through the water at the ocean.
187,123524,Factory workers standing in uniform next to their product.,The factory workers are sitting.
188,123536,The black and white dog is running on the grass.,The black and white dog is running.
189,124930,A woman standing in front of a building as others go about their day.,I women waiting on friends outside a building.
190,125168,"Two cyclists competing in road race, one in front of the other.",Two people are racing.
191,125334,"A woman wearing a sparkly blue costume, leaps into the air while swirling a green ribbon in her left hand.",The woman is in a play.
192,126619,Five men wearing black shorts are leaving the starting blocks in a track competition with few spectators.,Five men are racing.
193,126867,A woman in a brown coat is reading a book.,A woman reading the first published copy of her new book.
194,129375,"A woman holding a microphone wearing a brown jacket, in front of a sign which says ""comedians you should know.""",A woman is advertising for a sign promoting comedians.
195,129526,People walking past a fashion shops.,People are eating in a restaurant
196,129767,A young long-haired girl is out skipping on the sidewalk on a sunny day.,The boy is rolling a can down the street in the rain.
197,130156,A person is suspended by wires and poles against a blue sky.,There is a highwire act that is too high and it suspended between two buildings.
198,132011,"A woman and a man sit on a stone bench, with tall buildings behind them.",Two people sitting on a bench.
199,133213,"A shirtless man, wearing sunglasses and yellow shorts is making a heart sign towards the camera.",Grocery stores are busy with shoppers hoping to win a free turkey.
200,134525,People on the sideline of a soccer match.,People are watching a college basketball game.
201,134613,"A redheaded woman with a scarf in her hair, wearing a white sweater with black bows on it.",The woman is out Christmas Carolling in the winter time.
202,135071,"A man wearing a belt, a tan jacket and brown shoes is walking next to a woman with a brown purse, a black outfit, and sunglasses on a sidewalk.",People are walking outdoors.
203,135294,A father and his son and daughter play by the waters edge.,A father is spending his saturday with his kids
204,136271,People riding motorbikes down the street.,People are rowing a boat on a river
205,136456,A painter is standing on smaller silver ladder and there is another silver ladder close by.,A man is standing on a ladder painting.
206,137962,The rugby players play on a field.,A group of rugby players practices outside.
207,138010,A lady wearing a bonnet is sitting down with her hands on her lap.,A man is standing in a field.
208,138280,Person in a red hat walking on a sidewalk on a snowy day.,The lady wore a red hat while she walked on the snowy sidewalk.
209,138332,Two young boys wearing collared shirts and baseball caps have their blue-tinted tongues stuck out.,A couple of young baseball players at a park.
210,138618,A person riding transit (catching?) a paper bag.,A person with a paper bag.
211,138993,A group of girls in leotards.,Some women in jumpsuits.
212,141282,"A view of large field ringed by trees, with a large group of people milling about on the field.",They are waiting for a picnic to start.
213,141386,A sari-garbed woman is smiling at the camera.,The woman is yelling at the photographer.
214,141712,A man is asleep on the ground near two bank machines.,A man is asleep on the ground to take rest.
215,141719,"A boy watches his classmates play in a courtyard, looking from above.",A boy watches his classmates play.
216,142281,Men wearing black and white striped shirts and red scarves carry a shrine on their shoulders.,Men are carrying a shrine on their shoulders.
217,143023,"A group of women in pink dresses, walking across a street.",A group of women are walking to a wedding they're attending.
218,143539,A baby with its eyes closed is holding a wooden toy and biting it.,The child is chewing its toys.
219,145395,Old woman with lots of ornate clothing and jewelry.,A grandmother is have a garage sale getting rid of her Clothing and jewelry since she has too many
220,145658,A group of school children looking at a group on men wearing white shirts,A group of kids are together.
221,146160,Several people walk by a rickshaw containing a sleeping cat.,People walking as a group in a tour
222,146990,"A cyclist in a red, yellow and black uniform, including a helmet is performing a trick on his bike.",A cyclist is preforming a bike trick.
223,147325,Three girls are walking along the sidewalk together and the one in the middle is bouncing a basketball.,Three girls are on their way to the park to shoot some hoops.
224,148216,Man trying to guide a kit in the desert.,A man is trying to guide a kit in the desert
225,148356,A man in a red shirt is interacting with a woman holding a shopping bag.,A red-haired rides a go-cart.
226,150141,The woman in glasses is smiling with the ocean in the background,The woman is mad that her glasses are broken.
227,150619,A person in a yellow coat is carrying a bag of three oranges.,A man  in a yellow coat is carrying a bag of three oranges.
228,150697,a woman holding a small ball chasing after a small boy.,The woman is sleeping in bed.
229,151152,Several men sit with their green nets in fishing boats.,The men are standing in the boats.
230,151395,Eight people are on an escalator going up or down.,Group of people taking an escalator.
231,155127,A skateboarder riding up to a slope.,There is someone on the skateboard.
232,158708,An elderly man in a leather jacket with a scarf is holding up a sign.,A man is holding up a sign.
233,159279,playing the guitar in front of the color purple.,some instruments can only be played with particular colours
234,159758,A man in a white shirt black tie looks out of the elevator shaft of a parking garage.,A woman cries of happiness.
235,160952,Hikers walking up red clay path.,Hikers follow a path to get to a waterfall.
236,161674,A male is leaping above white water.,A male leaps.
237,163028,A smiling young girl in braids is playing ball.,A child kicking a ball while playing.
238,163640,Old man is fixing overturned bike.,Man is fixing a bike.
239,164057,A man holding a sign and a man playing a guitar are speaking in front of a crowd.,A woman holding a sign is begging for money near her husband pretending to be a guitar player.
240,164421,An older man with white hair and beard reading a map as he's walking through an unfamiliar city.,The man is sitting on a park bench.
241,165214,Two women making decorations on a wall.,Two women are sleeping.
242,166345,A young girl is drawing with an orange crayon.,watched by a group
243,167082,"Four women, two with id badges.",Two women have badges.
244,167459,A construction worker assembles a scaffold.,The scaffold was assembled by the worker.
245,167720,an asian girl looking surprised in front of a brick window,There is an arabian man looking surprised.
246,168963,A man is on a casual bike ride during the day into town.,A woman is wearing roller skates near the beach.
247,169049,Man and baby posing in front of an engine of an old train.,The baby is driving the train.
248,169137,Two people riding a bike are riding towards a stop sign.,A couple ride a bike together.
249,169167,Skater does a trick on a rail.,The skater is performing for a cameraman.
250,169975,A street vendor is sitting on the ground in front of the shirts he is selling.,The street vendor looks tired.
251,170191,A game of dominoes is being played.,Two men are playing a card game.
252,170297,Two Latin dancers dancing with Mariachi band playing in the background with a crowd watching.,The dancers are performing for the crowd.
253,171597,"A small South American child running on a cobblestone pathway, by a blue wall with a door.",A small girl runs along a pathway towards a house.
254,172675,a sparsely-populated arcade with many brightly lit games and a few people sprinkled around.,The arcade is closed.
255,172947,Three young boys on a beach in swimsuits- two standing facing the water and one sitting on a rock- are in a rocky area with yellow wildflowers in the foreground while in the background many people recreate on a sandy shore.,Three boys play nintendo.
256,173016,A man bending over holding a tennis ball and playing with his dog.,The man and his dog are playing basketball at the gym.
257,173774,"In China, workers in the field carry out their tasks as the sun sets.",Workers in China carry out tasks as the sun sets.
258,175645,Kids jump their bikes off of dirt ramps near a waterfront.,Humans jumping
259,176277,people in white shirts and backpacks looking around one of them holding a small camera.,Some people are dressed in formal wear at the museum.
260,176740,"Five children are sitting and standing in front of an open green tent, holding food with a trashcan and table that had food on it behind them.",Five kids are standing in front of a tent.
261,176956,A woman in a magazine stand.,The magazine stand has a wide variety of material.
262,177271,"A young lady in a colorful dress, holds a white stuffed animal stands in the rain hold a plaid umbrella.",A lady wearing a colorful dress holds a plaid umbrella and a white stuffed animal in the rain.
263,177566,A little boy with a green shirt is running on a rock ledge.,A child is running.
264,177718,Three women are rollerskating in full roller derby attire.,Three women are rollerskating
265,178067,A man with a red hat looking at something in a glass counter and starfish on top in a metal container.,A man is looking at an object.
266,178078,Young African people drum in the streets.,Asian girls dancing in the streets.
267,180986,Two white dogs play together on a slightly snowy patch of green grass.,dog chasing man on snow
268,182297,A man is snowboarding over a structure on a snowy hill.,The snowboard has stripes.
269,182307,"The child in white is on the monkey bars, while the one in brown stands below.",Kids walking home.
270,182879,A girl with a purple shirt with a heart on it is making an electrical switch.,A student is working in her technology education class.
271,183621,two women walk down some stairs with intricate designs on the railings,The railings had designs.
272,184494,An oriental woman in a white gabardine and dressy shoes standing outside waiting for a ride.,The woman is a bride on her way to a church.
273,184671,A person in a yellow safety vest kneeling in the street.,A plane is taking off on a stormy day.
274,184879,A young girl expanding the time of childhood through colorful play.,The girl is painting with all the colours of the rainbow.
275,185263,A man and two young girls in a forest.,A man and his two daughters eat ice cream indoors.
276,188183,group of people by the ocean holding a net,A group of people are near the ocean.
277,188199,A woman with a floral shirt and purse and a man with a black shirt are walking while another man walks behind them.,the woman has a purse
278,188555,Several people are holding containers of alcohol in a room.,People holding containers on alcohol.
279,188590,A man wearing a business suit and a newsie cap clicks his heels in excitement.,An excited businessman clicks up his heels
280,188599,A man with an olive green shirt and messy hair plays a colorful drum set.,A man plays the drums.
281,188981,A man in a black sweatshirt and jeans holds a black acoustic guitar and converses with a passerby.,A man holds his guitar and talks to a man who just gave him a tip.
282,189281,a group sitting at a table discussing a subject.,peoples are tested by group discussion.
283,192390,"A woman, fit and toned, runs in a race as a crowd of runners follow.",Everybody is walking slowly.
284,192973,Several people are washing themselves off using showers at the beach.,some people are in beach
285,194020,A man on a laptop at a table.,A man using a computer.
286,195461,A group of children wearing colorful hats are smiling at the camera.,Some children are getting their picture taken.
287,195920,A single man sits on the ground with a cup in front of him.,The man is all alone on the ground.
288,196673,A biker reaches the apex of his ramp while onlookers watch his feat.,A biker reaches the apex of his ramp.
289,197235,A man is fishing on an inlet in the ocean.,A man fishing in the ocean.
290,199215,"Ready and set as two hockey players on the ice wait with sticks out in front of them, anticipating the puck.",The hckey game is about to begin.
291,200568,A multicolor cat fighting with a black and brown dog in a red collar.,A cat and dog are fighting.
292,200662,A man in a hat is walking across a lawn from a small truck to a van with a satellite.,A man is wearing a secret service outfit.
293,200772,A wakeboarder is traveling across the water behind a ramp.,The wakeboader is a man.
294,202122,"A group of people sit outdoors around a small, short table.",The dryer is broken.
295,203055,A person in a colorful wig is wiping white cream on a woman's face.,a rabbit runs
296,204391,A smiling man on a horse in front of brush and woods.,A man enjoys a day in the woods with his horse.
297,204719,The men are waving as they are standing in snow.,A group of men are enjoying a day at the pool.
298,204800,Two women with stethoscopes and a man with a blue hairnet on working tedious over an unknown object or person.,Two women are running.
299,205153,The men standing on the edge of a torn down building.,The men are wearing safety gear.
300,206106,There is a man with a red hat on his hand.,There is a sad man with a red hat on his hand.
301,207276,This dish is very tasty and I enjoy this dish,There is food in the dish.
302,207574,A man surfing on big waves with a watch on.,He is in a surfing tournament.
303,208906,People at a concert wave their hands in the air as they watch the singer and guitarist perform.,People enjoying music at a concert.
304,209139,A kid is riding on a skateboard.,A kid is riding a skateboard
305,209684,"A man sits back on an elegant sofa, sticking his feet up on the coffee table.",The man is sitting down.
306,209775,Eldery couple wearing hats looking at tickets on the street.,the people were on concrete
307,211350,Two women in military uniform are standing with other soldiers in formation.,Two women in military uniform are standing with others in formation
308,211927,A boat floating on blue water.,The boat is about to be taken out on the water.
309,213001,Two girls play in the shower with their clothes on.,Two girls have their clothes on in the shower.
310,213279,A large duck in flight over a rocky stream.,A duck is flying over water.
311,213566,A little boy in a cowboy hat eating something.,The boy is eating his birthday cake with the other party guests.
312,214226,A man sitting on the back of a truck underneath an umbrella.,a mouse eating chees
313,214998,A runner is sliding into home while the cathcer covers the plate in a softball game.,A runner slides home for the winning run in a softball game.
314,215221,A waveboarder skims through the surf at sunset.,A person is in a waveboader competition.
315,215707,A man with black hair sits in a restaurant with a glass of beer.,There is a man with a drink.
316,215759,White girl in a white dress and white bird-looking wings holding some blue ads.,A girl is wearing a yellow suit.
317,215835,Soccer players in jerseys representing two teams mill around on a soccer field.,The soccer players are getting ready to play.
318,215950,"A guy in a blue shirt, shorts and sandals is giving a speech with a microphone to some people sitting in the front row of an auditorium.",A man is giving his campaing speech.
319,216738,A woman is taking a man's blood pressure in a kitchen.,The woman is checking the man's health indoors.
320,217803,Many people stand on an overpass looking over.,People are looking at something.
321,218103,A teenage girl wearing a t-shirt and bathing suit bottom jumps into a body of water.,A girl jumps into water.
322,218557,A boy is flying in midair while snowboarding in a hilly and wooded area.,the boy is competing in a snowboard competition
323,219803,"A young man is having his picture taken in front of a picture of an Asian sports team, while a child walks in a ball cap walks in front of the picture.",A young man gets his photo taken.
324,221452,A girl in a baseball uniform getting ready to throw the ball at a game.,The girl prepares to throw the ball.
325,221454,A girl wearing the number one LaFayette softball uniform is about to throw the ball.,Some woman are softball players.
326,223038,A boy in a blue life jacket jumps into the water.,There is a boy jumping into the water to play.
327,223113,Two men stand in front of a building.,two men stand
328,224071,Three people are walking down the beach.,Three men riding their motorcycles.
329,224732,Shoppers look for Christmas gifts at Harrod's department store.,The shoppers are finding good deals.
330,224812,Little girl holding a karate trophy.,A little girl is
331,226116,Two females walking down the street with shopping bags.,they just finished shopping
332,226394,A black bird in the air with leaves in its mouth.,A black bird is making a nest.
333,226504,Two people raise their arms on a snowy hill in the mountains.,the child was happy
334,226575,Two men and a woman converse together at as EASTA meeting.,A woman is shouting a men in office.
335,226981,Two men are sitting by themselves in a cafe.,A cafe where two men sit alone.
