input_position,source_index,candidate_id,augmented_field,gold_label,source_nli_status,original_nli_predicted_label,original_nli_gold_probability,translation_performed,original_sentence,back_translated_sentence,semantic_forward,semantic_backward,semantic_min,candidate_nli_predicted_label,candidate_nli_gold_probability,generation_truncated,source_to_pivot_generation_truncated,pivot_to_source_generation_truncated,logical_cue_changes,hard_cue_changes,soft_cue_changes,change_ratio,accepted,reasons,translation_model,translation_model_revision,verifier_model,verifier_model_revision
21,10680,10680:premise:fra_Latn,premise,contradiction,RELIABLE_GOLD,contradiction,0.9993793964385986,True,Two girls looking in microscopes.,Two girls looking at the microscope.,0.9767071008682251,0.9540716409683228,0.9540716409683228,contradiction,0.9994245767593384,False,False,False,"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""premise""}]",[],"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""premise""}]",0.13043478260869568,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
21,10680,10680:hypothesis:fra_Latn,hypothesis,contradiction,RELIABLE_GOLD,contradiction,0.9993793964385986,True,the two girls are listening to music while in science class instead of doing their homework,Both girls listen to music in science class instead of doing their homework.,0.9962235689163208,0.995875895023346,0.995875895023346,contradiction,0.9995075464248657,False,False,False,[],[],[],0.12574850299401197,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
24,13229,13229:premise:fra_Latn,premise,contradiction,RELIABLE_GOLD,contradiction,0.999629020690918,True,A woman wearing a black stands in front of a counter while she holds a piece of meat.,A woman in black is standing in front of a counter holding a piece of meat.,0.9966766834259033,0.9976118803024292,0.9966766834259033,contradiction,0.999494194984436,False,False,False,"[{""group"":""space"",""original"":{""front"":1,""in"":1},""candidate"":{""front"":1,""in"":2},""field"":""premise""}]",[],"[{""group"":""space"",""original"":{""front"":1,""in"":1},""candidate"":{""front"":1,""in"":2},""field"":""premise""}]",0.17500000000000004,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
24,13229,13229:hypothesis:fra_Latn,hypothesis,contradiction,RELIABLE_GOLD,contradiction,0.999629020690918,True,The woman is naked while holding a salad.,The woman is naked holding a salad.,0.9969432950019836,0.9966807961463928,0.9966807961463928,contradiction,0.9996335506439209,False,False,False,[],[],[],0.07894736842105265,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
25,13559,13559:premise:fra_Latn,premise,entailment,RELIABLE_GOLD,entailment,0.9929476976394653,True,"Two teams, one wearing blue and white, the other in red and white, are playing football.","Two teams, one in blue and white, the other in red and white, play football.",0.9894132018089294,0.9943878054618835,0.9894132018089294,entailment,0.9904975295066833,False,False,False,"[{""group"":""space"",""original"":{""in"":1},""candidate"":{""in"":2},""field"":""premise""}]",[],"[{""group"":""space"",""original"":{""in"":1},""candidate"":{""in"":2},""field"":""premise""}]",0.07317073170731703,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
25,13559,13559:hypothesis:fra_Latn,hypothesis,entailment,RELIABLE_GOLD,entailment,0.9929476976394653,True,There are people playing a game.,There are people who play a game.,0.997711181640625,0.9970611929893494,0.9970611929893494,entailment,0.9927611351013184,False,False,False,[],[],[],0.10769230769230764,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
27,14934,14934:hypothesis:fra_Latn,hypothesis,entailment,RELIABLE_GOLD,entailment,0.9978760480880737,True,a man is driving a piece of equipment on the grounds of a venue.,A man drives equipment on the ground of a place.,0.9972220659255981,0.9830445051193237,0.9830445051193237,entailment,0.996451735496521,False,False,False,[],[],[],0.2321428571428571,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
29,17575,17575:premise:fra_Latn,premise,neutral,RELIABLE_GOLD,neutral,0.996729850769043,True,A football player lands on his head.,A football player falls on his head.,0.9925656318664551,0.9955202341079712,0.9925656318664551,neutral,0.994096040725708,False,False,False,[],[],[],0.08333333333333337,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
34,19294,19294:premise:fra_Latn,premise,neutral,RELIABLE_GOLD,neutral,0.9983038902282715,True,A shirtless man with sunglasses looks at the camera during a beach party.,A shirtless man with sunglasses looks at the camera at a beach party.,0.9949310421943665,0.9925503730773926,0.9925503730773926,neutral,0.9981221556663513,False,False,False,"[{""group"":""time"",""original"":{""during"":1},""candidate"":{},""field"":""premise""}]",[],"[{""group"":""time"",""original"":{""during"":1},""candidate"":{},""field"":""premise""}]",0.05633802816901412,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
34,19294,19294:hypothesis:fra_Latn,hypothesis,neutral,RELIABLE_GOLD,neutral,0.9983038902282715,True,the man is a model,man is a model,0.9912541508674622,0.9915728569030762,0.9912541508674622,neutral,0.9963966012001038,False,False,False,[],[],[],0.125,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
35,19844,19844:hypothesis:fra_Latn,hypothesis,entailment,RELIABLE_GOLD,entailment,0.9864567518234253,True,A young blond person looking at a white robot on a green table.,A young blonde looking at a white robot on a green table.,0.9950087070465088,0.9938108325004578,0.9938108325004578,entailment,0.9933235049247742,False,False,False,[],[],[],0.050000000000000044,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
37,26244,26244:premise:fra_Latn,premise,neutral,RELIABLE_GOLD,neutral,0.9370047450065613,True,A boy in a swimsuit sitting on top of a circular fountain.,A boy in a swimsuit sitting on a circular fountain.,0.9950703382492065,0.9678703546524048,0.9678703546524048,neutral,0.9476723670959473,False,False,False,[],[],[],0.06422018348623848,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
38,27041,27041:premise:fra_Latn,premise,entailment,RELIABLE_GOLD,entailment,0.9932605624198914,True,A man wearing a flannel shirt picking oranges in a farmer's market.,A man in a flannel shirt picking oranges at a farmer's market.,0.9964902997016907,0.9964784979820251,0.9964784979820251,entailment,0.9936000108718872,False,False,False,[],[],[],0.06976744186046513,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
39,27080,27080:premise:fra_Latn,premise,entailment,RELIABLE_GOLD,entailment,0.9898721575737,True,"A man wearing a gray hooded sweatshirt, blue jeans, and white and gray socks is putting his foot on top of his head.","A man in a gray sweatshirt, blue jeans, and white and gray socks sets foot on his head.",0.996000349521637,0.9251251220703125,0.9251251220703125,entailment,0.9698268175125122,False,False,False,"[{""group"":""space"",""original"":{""on"":1},""candidate"":{""in"":1,""on"":1},""field"":""premise""}]",[],"[{""group"":""space"",""original"":{""on"":1},""candidate"":{""in"":1,""on"":1},""field"":""premise""}]",0.15270935960591137,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
40,28431,28431:premise:fra_Latn,premise,contradiction,RELIABLE_GOLD,contradiction,0.9995118379592896,True,"A young man performs yoga, inspired by a beautiful day on the beach.","A young man practicing yoga, inspired by a beautiful day on the beach.",0.9943395256996155,0.9958641529083252,0.9943395256996155,contradiction,0.9996035695075989,False,False,False,[],[],[],0.10144927536231885,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
40,28431,28431:hypothesis:fra_Latn,hypothesis,contradiction,RELIABLE_GOLD,contradiction,0.9995118379592896,True,A karate battle in the woods,A Karate Battle in the Forest,0.980991542339325,0.9927975535392761,0.980991542339325,contradiction,0.9992276430130005,False,False,False,[],[],[],0.1228070175438597,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
41,28875,28875:premise:fra_Latn,premise,contradiction,RELIABLE_GOLD,contradiction,0.9995566010475159,True,Boys in Africa are outside playing soccer and enjoying themselves.,African boys are out playing football and having fun.,0.9945857524871826,0.9966717958450317,0.9945857524871826,contradiction,0.999514102935791,False,False,False,"[{""group"":""space"",""original"":{""outside"":1,""in"":1},""candidate"":{},""field"":""premise""}]",[],"[{""group"":""space"",""original"":{""outside"":1,""in"":1},""candidate"":{},""field"":""premise""}]",0.4285714285714286,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
41,28875,28875:hypothesis:fra_Latn,hypothesis,contradiction,RELIABLE_GOLD,contradiction,0.9995566010475159,True,The kids play baseball.,The kids are playing baseball.,0.996364414691925,0.9972617626190186,0.996364414691925,contradiction,0.9995953440666199,False,False,False,[],[],[],0.13207547169811318,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
43,29415,29415:hypothesis:fra_Latn,hypothesis,contradiction,RELIABLE_GOLD,contradiction,0.9534854888916016,True,A man is working inside.,There's a man working inside.,0.9978394508361816,0.9975304007530212,0.9975304007530212,contradiction,0.8651098608970642,False,False,False,[],[],[],0.2075471698113207,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
45,30056,30056:premise:fra_Latn,premise,neutral,RELIABLE_GOLD,neutral,0.9971179962158203,True,A man with glasses and a white shirt playing a red guitar.,A man in glasses and a white shirt playing a red guitar.,0.9937787652015686,0.9936698079109192,0.9936698079109192,neutral,0.9966431856155396,False,False,False,"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""premise""}]",[],"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""premise""}]",0.03508771929824561,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
46,32175,32175:premise:fra_Latn,premise,neutral,RELIABLE_GOLD,neutral,0.9993520379066467,True,A child shows other kids his still packaged toy.,A child shows other children his toy still packed.,0.9960088729858398,0.9969186782836914,0.9960088729858398,neutral,0.999428927898407,False,False,False,[],[],[],0.18367346938775508,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
46,32175,32175:hypothesis:fra_Latn,hypothesis,neutral,RELIABLE_GOLD,neutral,0.9993520379066467,True,A child has a Buzz Lightyear doll.,A kid has a Buzz Lightyear doll.,0.9974700212478638,0.9971207976341248,0.9971207976341248,neutral,0.9993636012077332,False,False,False,[],[],[],0.06060606060606055,True,[],facebook/nllb-200-distilled-600M,f8d333a098d19b4fd9a8b18f94170487ad3f821d,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,6f5cf0a2b59cabb106aca4c287eed12e357e90eb
