audit_id,gold_label,gold_label_name,augmented_field,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_severity,review_error_types,review_notes
A0171,1,neutral,premise,A boy in a swimsuit sitting on top of a circular fountain.,A funny person sitting,A boy in a swimsuit sitting on a circular fountain.,A funny person sitting,A boy in a swimsuit sitting on top of a circular fountain.,A boy in a swimsuit sitting on a circular fountain.,,,,,,
A0172,0,entailment,premise,An Asian man makes calligraphy on a green table with newspaper on it.,A man is drawing.,An Asian guy is doing calligraphy on a green table with a newspaper on it.,A man is drawing.,An Asian man makes calligraphy on a green table with newspaper on it.,An Asian guy is doing calligraphy on a green table with a newspaper on it.,,,,,,
A0173,2,contradiction,premise,A man dressed in a green jacket is playing piano while a woman sings.,A man is burning a piano.,A man in a green jacket plays piano while a woman sings.,A man is burning a piano.,A man dressed in a green jacket is playing piano while a woman sings.,A man in a green jacket plays piano while a woman sings.,,,,,,
A0174,0,entailment,premise,This African-American man is talking on the phone.,A man is communicating,This African-American man is on the phone.,A man is communicating,This African-American man is talking on the phone.,This African-American man is on the phone.,,,,,,
A0175,0,entailment,hypothesis,Two kids in a green tree.,The kids are above the ground.,Two kids in a green tree.,The children are above the ground.,The kids are above the ground.,The children are above the ground.,,,,,,
A0176,0,entailment,premise,Two people walk in opposite directions across a brick road.,The road was made with bricks.,Two people are walking in opposite directions on a brick road.,The road was made with bricks.,Two people walk in opposite directions across a brick road.,Two people are walking in opposite directions on a brick road.,,,,,,
A0177,1,neutral,premise,Three men are standing next to each other wearing different colored shirts.,Three brothers wearing their favorite color shirt.,Three men standing next to each other in different-colored shirts.,Three brothers wearing their favorite color shirt.,Three men are standing next to each other wearing different colored shirts.,Three men standing next to each other in different-colored shirts.,,,,,,
A0178,1,neutral,hypothesis,A woman standing in front of a building as others go about their day.,I women waiting on friends outside a building.,A woman standing in front of a building as others go about their day.,I'm a woman waiting for friends outside a building.,I women waiting on friends outside a building.,I'm a woman waiting for friends outside a building.,,,,,,
A0179,1,neutral,hypothesis,Many birds are sitting on a concrete wall.,Many pigeons are sitting on a concrete wall.,Many birds are sitting on a concrete wall.,A lot of pigeons are sitting on a concrete wall.,Many pigeons are sitting on a concrete wall.,A lot of pigeons are sitting on a concrete wall.,,,,,,
A0180,1,neutral,premise,A football player lands on his head.,The football player damaged his neck.,A football player falls on his head.,The football player damaged his neck.,A football player lands on his head.,A football player falls on his head.,,,,,,
A0181,0,entailment,premise,"A woman and a man sit on a stone bench, with tall buildings behind them.",Two people sitting on a bench.,"A woman and a man are sitting on a rock bench, with tall buildings behind them.",Two people sitting on a bench.,"A woman and a man sit on a stone bench, with tall buildings behind them.","A woman and a man are sitting on a rock bench, with tall buildings behind them.",,,,,,
A0182,0,entailment,premise,A girl with red-hair is jumping on a sand dune.,A girl is outdoors.,A red-haired girl jumps on a sand dune.,A girl is outdoors.,A girl with red-hair is jumping on a sand dune.,A red-haired girl jumps on a sand dune.,,,,,,
A0183,1,neutral,hypothesis,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique costume is playing the bagpipes  for monetary gain.,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique suit plays the bagpipes to make money.,A man in a unique costume is playing the bagpipes  for monetary gain.,A man in a unique suit plays the bagpipes to make money.,,,,,,
A0184,2,contradiction,hypothesis,A golfer wearing a striped red polo shirt and white pants watches his drive after swinging.,The golfer is preparing food for dinner.,A golfer wearing a striped red polo shirt and white pants watches his drive after swinging.,The golfer prepares food for dinner.,The golfer is preparing food for dinner.,The golfer prepares food for dinner.,,,,,,
A0185,0,entailment,hypothesis,A brown dog carries a multiple colored toy in the grass.,A dog is carrying colored toys.,A brown dog carries a multiple colored toy in the grass.,A dog carries colorful toys.,A dog is carrying colored toys.,A dog carries colorful toys.,,,,,,
A0186,1,neutral,hypothesis,A young woman is stirring something in a pot while a young boy wearing a flowered apron stands by her.,They are making soup,A young woman is stirring something in a pot while a young boy wearing a flowered apron stands by her.,They make soup .,They are making soup,They make soup .,,,,,,
A0187,0,entailment,premise,A man with an olive green shirt and messy hair plays a colorful drum set.,A man plays the drums.,A man in an olive green shirt and disordered hair plays a set of colorful drums.,A man plays the drums.,A man with an olive green shirt and messy hair plays a colorful drum set.,A man in an olive green shirt and disordered hair plays a set of colorful drums.,,,,,,
A0188,0,entailment,hypothesis,"A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.","On the grass near the water, a person in a yellow hat walks carrying fishing gear.","A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.","On the grass by the water, a person in a yellow hat walks with fishing gear.","On the grass near the water, a person in a yellow hat walks carrying fishing gear.","On the grass by the water, a person in a yellow hat walks with fishing gear.",,,,,,
A0189,2,contradiction,premise,A black and white dog is jumping into the water.,A dog is sleeping in the owner's backyard.,A black and white dog jumps into the water.,A dog is sleeping in the owner's backyard.,A black and white dog is jumping into the water.,A black and white dog jumps into the water.,,,,,,
A0190,2,contradiction,hypothesis,"A little girl in a red shirt is suspended in midair on a contraption, as a man wearing white shorts looks up at her.",A man and girl are swimming in the ocean,"A little girl in a red shirt is suspended in midair on a contraption, as a man wearing white shorts looks up at her.",A man and a girl swimming in the ocean,A man and girl are swimming in the ocean,A man and a girl swimming in the ocean,,,,,,
A0191,2,contradiction,premise,They blow their trumpets.,The trumpeters are playing fiddles.,They're blowing their trumpets.,The trumpeters are playing fiddles.,They blow their trumpets.,They're blowing their trumpets.,,,,,,
A0192,0,entailment,premise,Men wearing black and white striped shirts and red scarves carry a shrine on their shoulders.,Men are carrying a shrine on their shoulders.,Men wearing black and white striped shirts and scarlet scarves were carrying a shrine on their shoulders.,Men are carrying a shrine on their shoulders.,Men wearing black and white striped shirts and red scarves carry a shrine on their shoulders.,Men wearing black and white striped shirts and scarlet scarves were carrying a shrine on their shoulders.,,,,,,
A0193,2,contradiction,premise,A sari-garbed woman is smiling at the camera.,The woman is yelling at the photographer.,A woman in sari smiles at the camera.,The woman is yelling at the photographer.,A sari-garbed woman is smiling at the camera.,A woman in sari smiles at the camera.,,,,,,
A0194,0,entailment,premise,A religious man in a robe is sitting in contemplation.,A man wearing a robe looks to be very religious,A religious man dressed in a robe is sitting contemplating.,A man wearing a robe looks to be very religious,A religious man in a robe is sitting in contemplation.,A religious man dressed in a robe is sitting contemplating.,,,,,,
A0195,1,neutral,premise,A girl in a floral bathing suit jumping on the beach in front of the waves.,A five year old girl is on vacation with her family.,A flowering swimsuit girl jumping on the beach in front of the waves.,A five year old girl is on vacation with her family.,A girl in a floral bathing suit jumping on the beach in front of the waves.,A flowering swimsuit girl jumping on the beach in front of the waves.,,,,,,
A0196,1,neutral,hypothesis,A boy is flying in midair while snowboarding in a hilly and wooded area.,the boy is competing in a snowboard competition,A boy is flying in midair while snowboarding in a hilly and wooded area.,the boy is in a snowboarding competition,the boy is competing in a snowboard competition,the boy is in a snowboarding competition,,,,,,
A0197,0,entailment,premise,"Two teams, one wearing blue and white, the other in red and white, are playing football.",There are people playing a game.,"Two teams, one in blue and white, the other in red and white, play football.",There are people playing a game.,"Two teams, one wearing blue and white, the other in red and white, are playing football.","Two teams, one in blue and white, the other in red and white, play football.",,,,,,
A0198,2,contradiction,hypothesis,"Two men are kayaking, one in front of the other.",The people are sitting on the beach.,"Two men are kayaking, one in front of the other.",People are sitting on the beach.,The people are sitting on the beach.,People are sitting on the beach.,,,,,,
A0199,0,entailment,premise,People in snowy climate prepare to eat food on plates.,People in a snow covered area preparing to eat a meal.,People in the snowy climate are getting ready to eat on plates.,People in a snow covered area preparing to eat a meal.,People in snowy climate prepare to eat food on plates.,People in the snowy climate are getting ready to eat on plates.,,,,,,
A0200,0,entailment,premise,A large brown dog is digging in the sand.,A dog is digging outside.,A big brown dog digging in the sand.,A dog is digging outside.,A large brown dog is digging in the sand.,A big brown dog digging in the sand.,,,,,,
