audit_id,gold_label,gold_label_name,augmented_field,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_severity,review_error_types,review_notes
A0051,0,entailment,premise,A man is standing next to a vehicle in a city setting.,Someone is standing by a car,A man is standing next to a vehicle in a city.,Someone is standing by a car,A man is standing next to a vehicle in a city setting.,A man is standing next to a vehicle in a city.,,,,,,
A0052,0,entailment,premise,A surfer catching a wave.,A person is surfing.,A surfer who catches a wave.,A person is surfing.,A surfer catching a wave.,A surfer who catches a wave.,,,,,,
A0053,1,neutral,premise,Two people in blue shirts are selling shoes in an outside market.,The shoes are being sold by the girls.,Two people in blue shirts are selling shoes at an outdoor market.,The shoes are being sold by the girls.,Two people in blue shirts are selling shoes in an outside market.,Two people in blue shirts are selling shoes at an outdoor market.,,,,,,
A0054,1,neutral,hypothesis,Shoppers look for Christmas gifts at Harrod's department store.,The shoppers are finding good deals.,Shoppers look for Christmas gifts at Harrod's department store.,Buyers find good deals.,The shoppers are finding good deals.,Buyers find good deals.,,,,,,
A0055,1,neutral,hypothesis,Several people are walking on a sidewalk while one person is laying down.,a person is laying down because he is having a heart attack,Several people are walking on a sidewalk while one person is laying down.,a person goes to bed because they have a heart attack,a person is laying down because he is having a heart attack,a person goes to bed because they have a heart attack,,,,,,
A0056,0,entailment,hypothesis,"A young man is having his picture taken in front of a picture of an Asian sports team, while a child walks in a ball cap walks in front of the picture.",A young man gets his photo taken.,"A young man is having his picture taken in front of a picture of an Asian sports team, while a child walks in a ball cap walks in front of the picture.",A young man is being photographed.,A young man gets his photo taken.,A young man is being photographed.,,,,,,
A0057,1,neutral,hypothesis,The young boy is jumping into the pool on his belly.,The people around the pool are afraid of getting wet after the belly flop is finished.,The young boy is jumping into the pool on his belly.,People around the pool are afraid of getting wet after a stomach flop.,The people around the pool are afraid of getting wet after the belly flop is finished.,People around the pool are afraid of getting wet after a stomach flop.,,,,,,
A0058,2,contradiction,premise,A guy catches or prepares to throw a football with various teammates and staff in the background at what looks like a school.,Students play lacrosse at a school.,A guy takes or prepares to throw a football with various teammates and staff in the background to what looks like a school.,Students play lacrosse at a school.,A guy catches or prepares to throw a football with various teammates and staff in the background at what looks like a school.,A guy takes or prepares to throw a football with various teammates and staff in the background to what looks like a school.,,,,,,
A0059,2,contradiction,hypothesis,A little girl in a hat sits under a grocery cart.,A girl is sleeping in her bed.,A little girl in a hat sits under a grocery cart.,A girl sleeps in her bed.,A girl is sleeping in her bed.,A girl sleeps in her bed.,,,,,,
A0060,0,entailment,premise,Two young women are writing on a banner.,Two women are writing.,Two young women writing on a banner.,Two women are writing.,Two young women are writing on a banner.,Two young women writing on a banner.,,,,,,
A0061,1,neutral,premise,A dog runs while holding an object in its mouth.,The dog brings the ball back to his owner.,A dog runs when he holds an object in his mouth.,The dog brings the ball back to his owner.,A dog runs while holding an object in its mouth.,A dog runs when he holds an object in his mouth.,,,,,,
A0062,2,contradiction,premise,"A young boy, arms and legs splayed wide, is leaping into the water on a rocky shoreline.",A young boy is spitting.,"A young boy, with his arms and legs spread out, jumps into the water on a rocky shore.",A young boy is spitting.,"A young boy, arms and legs splayed wide, is leaping into the water on a rocky shoreline.","A young boy, with his arms and legs spread out, jumps into the water on a rocky shore.",,,,,,
A0063,2,contradiction,hypothesis,A young boy points a toy rifle off-camera.,A boy is holding a sword.,A young boy points a toy rifle off-camera.,A boy holds a sword.,A boy is holding a sword.,A boy holds a sword.,,,,,,
A0064,0,entailment,hypothesis,"one white little girl, riding on a brown and white saddle which is on top of brown adult horse with black hair, both outside on a sunny day.",The girl is on the horse.,"one white little girl, riding on a brown and white saddle which is on top of brown adult horse with black hair, both outside on a sunny day.",The girl's on a horse.,The girl is on the horse.,The girl's on a horse.,,,,,,
A0065,0,entailment,premise,A young lady is being videotaped while she's sitting in her stroller in front of a Sysco truck on the sidewalk.,a young woman is being filmed while she sits in her stroller on the sidewalk in front of a truck,A young woman is filmed as she sits in her stroller in front of a Sysco truck on the sidewalk.,a young woman is being filmed while she sits in her stroller on the sidewalk in front of a truck,A young lady is being videotaped while she's sitting in her stroller in front of a Sysco truck on the sidewalk.,A young woman is filmed as she sits in her stroller in front of a Sysco truck on the sidewalk.,,,,,,
A0066,1,neutral,premise,A group of young students are hanging out together in a university.,Students sit together by the Student Union building.,A group of young students hanging out together at a university.,Students sit together by the Student Union building.,A group of young students are hanging out together in a university.,A group of young students hanging out together at a university.,,,,,,
A0067,0,entailment,premise,A woman is taking a man's blood pressure in a kitchen.,The woman is checking the man's health indoors.,A woman takes a man's blood pressure in a kitchen.,The woman is checking the man's health indoors.,A woman is taking a man's blood pressure in a kitchen.,A woman takes a man's blood pressure in a kitchen.,,,,,,
A0068,1,neutral,hypothesis,Teenage girls in a dance recital.,The high school dance team put on a great show.,Teenage girls in a dance recital.,The high school dance team did a great show.,The high school dance team put on a great show.,The high school dance team did a great show.,,,,,,
A0069,0,entailment,premise,Many people stand on an overpass looking over.,People are looking at something.,A lot of people stand on a bridge and watch.,People are looking at something.,Many people stand on an overpass looking over.,A lot of people stand on a bridge and watch.,,,,,,
A0070,0,entailment,hypothesis,A man with an olive green shirt and messy hair plays a colorful drum set.,A man plays the drums.,A man with an olive green shirt and messy hair plays a colorful drum set.,There's a man playing drums.,A man plays the drums.,There's a man playing drums.,,,,,,
A0071,0,entailment,premise,A biker reaches the apex of his ramp while onlookers watch his feat.,A biker reaches the apex of his ramp.,A motorcyclist reaches the top of his ramp while spectators watch his feat.,A biker reaches the apex of his ramp.,A biker reaches the apex of his ramp while onlookers watch his feat.,A motorcyclist reaches the top of his ramp while spectators watch his feat.,,,,,,
A0072,1,neutral,hypothesis,A woman is playing ice hockey.,A woman proving she can be a hockey player.,A woman is playing ice hockey.,A woman who proves she can be a hockey player.,A woman proving she can be a hockey player.,A woman who proves she can be a hockey player.,,,,,,
A0073,0,entailment,hypothesis,Two men in sleeveless shirts and shorts getting a beverage.,two men are getting a drink,Two men in sleeveless shirts and shorts getting a beverage.,Two men are having a drink.,two men are getting a drink,Two men are having a drink.,,,,,,
A0074,1,neutral,hypothesis,A woman in a park wearing a hat and holding a scarf over her face.,A woman is in a city park.,A woman in a park wearing a hat and holding a scarf over her face.,There's a woman in a city park.,A woman is in a city park.,There's a woman in a city park.,,,,,,
A0075,2,contradiction,hypothesis,Two white dogs play together on a slightly snowy patch of green grass.,dog chasing man on snow,Two white dogs play together on a slightly snowy patch of green grass.,dog chasing a man on the snow,dog chasing man on snow,dog chasing a man on the snow,,,,,,
A0076,1,neutral,hypothesis,Two people in blue shirts are selling shoes in an outside market.,The shoes are being sold by the girls.,Two people in blue shirts are selling shoes in an outside market.,The shoes are sold by the girls.,The shoes are being sold by the girls.,The shoes are sold by the girls.,,,,,,
A0077,2,contradiction,premise,A man bending over holding a tennis ball and playing with his dog.,The man and his dog are playing basketball at the gym.,A man bent over holding a tennis ball and playing with his dog.,The man and his dog are playing basketball at the gym.,A man bending over holding a tennis ball and playing with his dog.,A man bent over holding a tennis ball and playing with his dog.,,,,,,
A0078,2,contradiction,hypothesis,A girl sitting in the back of a cart full of various belongings.,A boy carries his belongings in his arms.,A girl sitting in the back of a cart full of various belongings.,A boy carries his stuff in his arms.,A boy carries his belongings in his arms.,A boy carries his stuff in his arms.,,,,,,
A0079,2,contradiction,hypothesis,A male surfer catching a nice wave.,A woman is surfing.,A male surfer catching a nice wave.,She's a surfer.,A woman is surfing.,She's a surfer.,,,,,,
A0080,1,neutral,premise,A person riding a horse trying to rope a calf that is running from them.,A person is competing at a rodeo.,A person on a horse trying to tie up a calf that runs away.,A person is competing at a rodeo.,A person riding a horse trying to rope a calf that is running from them.,A person on a horse trying to tie up a calf that runs away.,,,,,,
