audit_id,gold_label,gold_label_name,augmented_field,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_severity,review_error_types,review_notes
A0142,2,contradiction,premise,A group of surgeons wearing scrubs are performing a surgery.,The group of surgeons are having a board meeting.,A group of surgeons wearing scrubs perform an operation.,The group of surgeons are having a board meeting.,A group of surgeons wearing scrubs are performing a surgery.,A group of surgeons wearing scrubs perform an operation.,,,,,,
A0143,0,entailment,hypothesis,Men wearing black and white striped shirts and red scarves carry a shrine on their shoulders.,Men are carrying a shrine on their shoulders.,Men wearing black and white striped shirts and red scarves carry a shrine on their shoulders.,Men carry a sanctuary on their shoulders.,Men are carrying a shrine on their shoulders.,Men carry a sanctuary on their shoulders.,,,,,,
A0144,0,entailment,hypothesis,Two women walking toward the camera along a sidewalk while wearing a backpack and showing midriff.,There are clothes on the women.,Two women walking toward the camera along a sidewalk while wearing a backpack and showing midriff.,There's clothes on women.,There are clothes on the women.,There's clothes on women.,,,,,,
A0145,1,neutral,premise,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,A man with blond hair and a brown shirt drinking from a public water fountain.,A blond man getting a drink of water from a fountain in the park.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A man with blond hair and a brown shirt drinking from a public water fountain.,,,,,,
A0146,1,neutral,premise,A man standing next to a women's restroom in an orange shirt.,The man's wife is in the restroom.,A man standing next to a women's bathroom in an orange shirt.,The man's wife is in the restroom.,A man standing next to a women's restroom in an orange shirt.,A man standing next to a women's bathroom in an orange shirt.,,,,,,
A0147,0,entailment,hypothesis,A young lady is being videotaped while she's sitting in her stroller in front of a Sysco truck on the sidewalk.,a young woman is being filmed while she sits in her stroller on the sidewalk in front of a truck,A young lady is being videotaped while she's sitting in her stroller in front of a Sysco truck on the sidewalk.,A young woman is filmed sitting in her stroller on the sidewalk in front of a truck,a young woman is being filmed while she sits in her stroller on the sidewalk in front of a truck,A young woman is filmed sitting in her stroller on the sidewalk in front of a truck,,,,,,
A0148,0,entailment,hypothesis,"A man taking a photograph, holding a postcard",There is a man holding a post card.,"A man taking a photograph, holding a postcard",There's a man holding a postcard.,There is a man holding a post card.,There's a man holding a postcard.,,,,,,
A0149,2,contradiction,premise,A man wearing blue jeans is standing outside carrying a wide assortment of items and has a large dish on his head.,The man is walking a tight rope between two sky scrapers.,A man standing outside in blue jeans wearing a wide variety of items and a large plate on his head.,The man is walking a tight rope between two sky scrapers.,A man wearing blue jeans is standing outside carrying a wide assortment of items and has a large dish on his head.,A man standing outside in blue jeans wearing a wide variety of items and a large plate on his head.,,,,,,
A0150,2,contradiction,premise,Factory workers standing in uniform next to their product.,The factory workers are sitting.,The factory workers standing in uniform next to their produce.,The factory workers are sitting.,Factory workers standing in uniform next to their product.,The factory workers standing in uniform next to their produce.,,,,,,
A0151,0,entailment,premise,A young male holding a fishing pole.,A man carries his fishing rod.,A young male holding a fishing rod.,A man carries his fishing rod.,A young male holding a fishing pole.,A young male holding a fishing rod.,,,,,,
A0152,1,neutral,premise,A group of ladies with computers sit behind a table while people on the other side purchase something.,People are purchasing necessary items.,A group of ladies with computers are sitting behind a table while the people on the other side are buying something.,People are purchasing necessary items.,A group of ladies with computers sit behind a table while people on the other side purchase something.,A group of ladies with computers are sitting behind a table while the people on the other side are buying something.,,,,,,
A0153,2,contradiction,hypothesis,Yellow dog catches ball in shallow waters.,Dog sleeping,Yellow dog catches ball in shallow waters.,Dogs are sleeping,Dog sleeping,Dogs are sleeping,,,,,,
A0154,1,neutral,premise,A skateboarder makes a jump while someone films it.,The skateboarder landed the jump perfectly.,A skateboarder makes a jump while someone else is filming him.,The skateboarder landed the jump perfectly.,A skateboarder makes a jump while someone films it.,A skateboarder makes a jump while someone else is filming him.,,,,,,
A0155,2,contradiction,hypothesis,People walking past a fashion shops.,People are eating in a restaurant,People walking past a fashion shops.,People eat in a restaurant.,People are eating in a restaurant,People eat in a restaurant.,,,,,,
A0156,2,contradiction,hypothesis,Three Asian women having a conversation.,Three white men are talking to each other.,Three Asian women having a conversation.,Three white men talking to each other.,Three white men are talking to each other.,Three white men talking to each other.,,,,,,
A0157,2,contradiction,premise,A man and a woman are sleeping on a mode of public transportation.,Everyone is awake riding the bus.,A man and a woman are sleeping on a public transport.,Everyone is awake riding the bus.,A man and a woman are sleeping on a mode of public transportation.,A man and a woman are sleeping on a public transport.,,,,,,
A0158,0,entailment,premise,There is a man and a woman sitting on lawn chairs next to a skate park with a group of guys on bicycles in the background and a woman with a child in a stroller on the side of the picture.,A group of people outdoors.,There's a man and a woman sitting on lawn chairs next to a skate park with a group of guys riding a bike in the background and a woman with a child in a stroller on the side of the photo.,A group of people outdoors.,There is a man and a woman sitting on lawn chairs next to a skate park with a group of guys on bicycles in the background and a woman with a child in a stroller on the side of the picture.,There's a man and a woman sitting on lawn chairs next to a skate park with a group of guys riding a bike in the background and a woman with a child in a stroller on the side of the photo.,,,,,,
A0159,1,neutral,hypothesis,Two female rollerskaters competing.,The women are great skaters.,Two female rollerskaters competing.,Women are great skaters.,The women are great skaters.,Women are great skaters.,,,,,,
A0160,1,neutral,hypothesis,Two young boys wearing collared shirts and baseball caps have their blue-tinted tongues stuck out.,A couple of young baseball players at a park.,Two young boys wearing collared shirts and baseball caps have their blue-tinted tongues stuck out.,A couple of young baseball players in a park.,A couple of young baseball players at a park.,A couple of young baseball players in a park.,,,,,,
