audit_id,source_index,input_position,candidate_id,gold_label,augmented_field,semantic_forward,semantic_backward,semantic_min,candidate_nli_predicted_label,candidate_nli_gold_probability,source_nli_status,original_nli_gold_probability,change_ratio,hard_cue_changes,soft_cue_changes,secondary_sts_score,secondary_sts_large_score,secondary_bleurt_score,secondary_roberta_min_entailment,reasons,stratum_population_size
A0011,90,1,90:hypothesis:fra_Latn,contradiction,hypothesis,0.9970947504043579,0.9971195459365845,0.9970947504043579,contradiction,0.9993472695350647,RELIABLE_GOLD,0.9988769888877869,0.1875,[],[],0.9966153502464294,0.9633382558822632,1.0286519527435303,0.9930799603462219,[],129
A0012,293560,430,293560:premise:fra_Latn,neutral,premise,0.9970400929450989,0.9941549897193909,0.9941549897193909,neutral,0.9995736479759216,RELIABLE_GOLD,0.9995211362838745,0.328125,[],[],0.8502817749977112,0.9278618693351746,0.5943050980567932,0.9791004061698914,[],118
A0013,264247,383,264247:hypothesis:fra_Latn,entailment,hypothesis,0.9975263476371765,0.9969251751899719,0.9969251751899719,entailment,0.9278790354728699,RELIABLE_GOLD,0.9920759201049805,0.44999999999999996,[],"[{""group"":""space"",""original"":{},""candidate"":{""outside"":1},""field"":""hypothesis""}]",0.9843959808349609,0.9606766104698181,0.22838622331619263,0.9934349060058594,[],154
A0014,492175,723,492175:hypothesis:fra_Latn,neutral,hypothesis,0.9961258769035339,0.9937322735786438,0.9937322735786438,neutral,0.9993202686309814,RELIABLE_GOLD,0.9994574189186096,0.08163265306122447,[],"[{""group"":""space"",""original"":{},""candidate"":{""through"":1},""field"":""hypothesis""}]",0.9958037734031677,0.968333899974823,0.8631258010864258,0.993557870388031,[],108
A0015,118275,184,118275:hypothesis:fra_Latn,contradiction,hypothesis,0.9964653253555298,0.997403085231781,0.9964653253555298,contradiction,0.9989261031150818,RELIABLE_GOLD,0.9990719556808472,0.11475409836065575,[],[],0.9385743737220764,0.9673470258712769,0.2550710439682007,0.9848650693893433,[],129
A0016,34221,49,34221:hypothesis:fra_Latn,neutral,hypothesis,0.996299684047699,0.9931227564811707,0.9931227564811707,neutral,0.9631985425949097,RELIABLE_GOLD,0.9715840220451355,0.06451612903225812,[],[],0.9968245029449463,0.9618562459945679,0.8572752475738525,0.9903234243392944,[],108
A0017,351913,530,351913:hypothesis:fra_Latn,entailment,hypothesis,0.9960874319076538,0.9978856444358826,0.9960874319076538,entailment,0.9810422658920288,RELIABLE_GOLD,0.9881287217140198,0.27586206896551724,[],"[{""group"":""space"",""original"":{""outside"":1},""candidate"":{""outside"":1,""on"":1},""field"":""hypothesis""}]",0.981627881526947,0.8950141668319702,0.5012549757957458,0.9919090867042542,[],154
A0018,52808,76,52808:premise:fra_Latn,contradiction,premise,0.997268557548523,0.9964189529418945,0.9964189529418945,contradiction,0.8604274392127991,RELIABLE_GOLD,0.9609857797622681,0.04878048780487809,[],[],0.9963919520378113,0.9688091278076172,0.879205584526062,0.9907767176628113,[],132
A0019,379691,574,379691:premise:fra_Latn,contradiction,premise,0.9927916526794434,0.9954656958580017,0.9927916526794434,contradiction,0.9995028972625732,RELIABLE_GOLD,0.9989246726036072,0.13043478260869568,[],[],0.9903111457824707,0.9689341187477112,0.6146717667579651,0.9891674518585205,[],132
A0020,95485,146,95485:hypothesis:fra_Latn,entailment,hypothesis,0.9959427714347839,0.9971097111701965,0.9959427714347839,entailment,0.9963545799255371,RELIABLE_GOLD,0.9975709319114685,0.10769230769230764,[],"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""hypothesis""}]",0.9968253374099731,0.9710659980773926,0.6908431649208069,0.9912036657333374,[],154
A0021,292908,427,292908:premise:fra_Latn,contradiction,premise,0.9970402121543884,0.9963393211364746,0.9963393211364746,contradiction,0.9991534948348999,RELIABLE_GOLD,0.9989691972732544,0.060869565217391286,[],[],0.9967107772827148,0.9712914228439331,0.9830987453460693,0.9930850267410278,[],132
A0022,79799,129,79799:hypothesis:fra_Latn,neutral,hypothesis,0.9977915287017822,0.9968878626823425,0.9968878626823425,neutral,0.9988816380500793,RELIABLE_GOLD,0.9991055130958557,0.17647058823529416,[],[],0.9967547059059143,0.9694129824638367,0.7815426588058472,0.9942881464958191,[],108
A0023,143539,218,143539:premise:fra_Latn,entailment,premise,0.9894422292709351,0.9943835735321045,0.9894422292709351,entailment,0.9811026453971863,RELIABLE_GOLD,0.9880231618881226,0.11111111111111116,[],[],0.996782660484314,0.9716864228248596,0.678215742111206,0.9939295053482056,[],133
A0024,32673,48,32673:hypothesis:fra_Latn,contradiction,hypothesis,0.9975220561027527,0.9966239929199219,0.9966239929199219,contradiction,0.9994598031044006,RELIABLE_GOLD,0.9993467926979065,0.20833333333333337,[],"[{""group"":""negation"",""original"":{""nobody"":1},""candidate"":{""no"":1},""field"":""hypothesis""}]",0.8283897638320923,0.9408746361732483,-0.8902280926704407,0.9915674328804016,[],129
A0025,308436,454,308436:hypothesis:fra_Latn,contradiction,hypothesis,0.9960262775421143,0.9839711785316467,0.9839711785316467,contradiction,0.9997071623802185,RELIABLE_GOLD,0.9996567964553833,0.12903225806451613,[],[],0.9942889213562012,0.9683734774589539,0.8328100442886353,0.9914702773094177,[],129
A0026,161674,236,161674:hypothesis:fra_Latn,entailment,hypothesis,0.9967954754829407,0.9953263998031616,0.9953263998031616,entailment,0.996517539024353,RELIABLE_GOLD,0.9958277344703674,0.23076923076923073,[],[],0.995747983455658,0.9629594087600708,0.9325825572013855,0.9927563071250916,[],154
A0027,164421,240,164421:premise:fra_Latn,contradiction,premise,0.9944493770599365,0.9962672591209412,0.9944493770599365,contradiction,0.9989099502563477,RELIABLE_GOLD,0.998278021812439,0.12432432432432428,[],[],0.9967737793922424,0.9731278419494629,0.8188825249671936,0.9938807487487793,[],132
A0028,509438,743,509438:premise:fra_Latn,entailment,premise,0.9626240134239197,0.9400349855422974,0.9400349855422974,entailment,0.9787978529930115,RELIABLE_GOLD,0.9808907508850098,0.1311475409836066,[],[],0.8631961941719055,0.9515308141708374,0.6753661036491394,0.9405500888824463,[],133
A0029,325880,483,325880:premise:fra_Latn,entailment,premise,0.9901021718978882,0.9957077503204346,0.9901021718978882,entailment,0.9980071187019348,RELIABLE_GOLD,0.9979004859924316,0.03508771929824561,[],[],0.996812641620636,0.9732921123504639,0.6583623290061951,0.9914183616638184,[],133
A0030,487685,714,487685:hypothesis:fra_Latn,neutral,hypothesis,0.9953835606575012,0.9916812777519226,0.9916812777519226,neutral,0.9757763743400574,RELIABLE_GOLD,0.9925249814987183,0.09523809523809523,[],[],0.9952084422111511,0.9538016319274902,1.073087453842163,0.9893213510513306,[],108
A0031,300966,444,300966:premise:fra_Latn,contradiction,premise,0.9969555139541626,0.9962604641914368,0.9962604641914368,contradiction,0.9995512366294861,RELIABLE_GOLD,0.9995579123497009,0.06796116504854366,[],"[{""group"":""space"",""original"":{""on"":2},""candidate"":{""in"":1,""on"":1},""field"":""premise""}]",0.9967733025550842,0.9707427024841309,0.8571621775627136,0.992508590221405,[],132
A0032,124930,189,124930:premise:fra_Latn,neutral,premise,0.9953017234802246,0.9964246153831482,0.9953017234802246,neutral,0.9920949339866638,RELIABLE_GOLD,0.9968034029006958,0.14492753623188404,[],[],0.9886045455932617,0.965720534324646,0.697776198387146,0.9860312938690186,[],118
A0033,189281,282,189281:premise:fra_Latn,neutral,premise,0.9957854151725769,0.9955951571464539,0.9955951571464539,neutral,0.9893345236778259,RELIABLE_GOLD,0.9900975227355957,0.1063829787234043,[],[],0.9961695075035095,0.96803218126297,1.0375782251358032,0.9920706152915955,[],118
A0034,475232,696,475232:premise:fra_Latn,neutral,premise,0.99379962682724,0.9225995540618896,0.9225995540618896,neutral,0.9310048818588257,RELIABLE_GOLD,0.876193106174469,0.1333333333333333,[],"[{""group"":""space"",""original"":{""on"":1},""candidate"":{""in"":1,""on"":2},""field"":""premise""}]",0.9851073622703552,0.9616537094116211,0.10008888691663742,0.9255490303039551,[],118
A0035,413131,610,413131:premise:fra_Latn,neutral,premise,0.9933043122291565,0.9947499632835388,0.9933043122291565,neutral,0.9983215928077698,RELIABLE_GOLD,0.9985820055007935,0.10317460317460314,[],[],0.9903162121772766,0.9711442589759827,0.7473524808883667,0.9927379488945007,[],118
A0036,511871,747,511871:premise:fra_Latn,neutral,premise,0.9963154196739197,0.9844588041305542,0.9844588041305542,neutral,0.9661149382591248,RELIABLE_GOLD,0.9902698993682861,0.09677419354838712,[],[],0.9962917566299438,0.9190813302993774,0.7510846257209778,0.9691508412361145,[],118
A0037,21,0,21:hypothesis:fra_Latn,neutral,hypothesis,0.9981529116630554,0.9976881742477417,0.9976881742477417,neutral,0.9938858151435852,RELIABLE_GOLD,0.9951857924461365,0.15966386554621848,[],[],0.9964950680732727,0.969692587852478,0.746500551700592,0.9928610920906067,[],108
A0038,219803,323,219803:premise:fra_Latn,entailment,premise,0.9948893785476685,0.9946927428245544,0.9946927428245544,entailment,0.9977287650108337,RELIABLE_GOLD,0.9969111084938049,0.19999999999999996,[],[],0.9723338484764099,0.9692009687423706,0.5267734527587891,0.9928354620933533,[],133
A0039,138010,207,138010:hypothesis:fra_Latn,contradiction,hypothesis,0.9981077909469604,0.9977993369102478,0.9977993369102478,contradiction,0.9995043277740479,RELIABLE_GOLD,0.9993240833282471,0.17460317460317465,[],[],0.9965559244155884,0.9605432748794556,0.6551110148429871,0.9924968481063843,[],129
A0040,520042,764,520042:premise:fra_Latn,contradiction,premise,0.9969229102134705,0.9961394667625427,0.9961394667625427,contradiction,0.9993608593940735,RELIABLE_GOLD,0.9994644522666931,0.2743362831858407,[],"[{""group"":""space"",""original"":{},""candidate"":{""on"":1},""field"":""premise""}]",0.9928336143493652,0.9635103344917297,0.4706778824329376,0.9883132576942444,[],132
A0041,431953,635,431953:premise:fra_Latn,entailment,premise,0.981605589389801,0.9948922395706177,0.981605589389801,entailment,0.995741605758667,RELIABLE_GOLD,0.9761167764663696,0.046511627906976716,[],"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""premise""}]",0.9966902732849121,0.9608696103096008,0.8130698204040527,0.9810009598731995,[],133
A0042,303583,449,303583:premise:fra_Latn,entailment,premise,0.9948921203613281,0.987559974193573,0.987559974193573,entailment,0.9909769296646118,RELIABLE_GOLD,0.9936717748641968,0.09774436090225569,[],[],0.9877849817276001,0.911746621131897,0.6642851829528809,0.9286189675331116,[],133
A0043,13229,24,13229:hypothesis:fra_Latn,contradiction,hypothesis,0.9969432950019836,0.9966807961463928,0.9966807961463928,contradiction,0.9996335506439209,RELIABLE_GOLD,0.999629020690918,0.07894736842105265,[],[],0.9960206151008606,0.9669193029403687,0.7657190561294556,0.9917628765106201,[],129
A0044,258365,375,258365:hypothesis:fra_Latn,contradiction,hypothesis,0.9822717905044556,0.9068444967269897,0.9068444967269897,contradiction,0.9995487332344055,RELIABLE_GOLD,0.9980502128601074,0.16049382716049387,[],"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""hypothesis""}]",0.9235902428627014,0.9597444534301758,0.35109302401542664,0.927925705909729,[],129
A0045,129767,196,129767:premise:fra_Latn,contradiction,premise,0.977899968624115,0.9842827916145325,0.977899968624115,contradiction,0.9996525049209595,RELIABLE_GOLD,0.9996949434280396,0.27007299270072993,[],[],0.8949815034866333,0.9189792275428772,0.47349846363067627,0.9461266994476318,[],132
A0046,332168,493,332168:premise:fra_Latn,contradiction,premise,0.9929541945457458,0.996440589427948,0.9929541945457458,contradiction,0.9972535967826843,RELIABLE_GOLD,0.9978678226470947,0.14814814814814814,[],[],0.9929028153419495,0.9592531323432922,0.6652361750602722,0.992667019367218,[],132
A0047,312572,465,312572:premise:fra_Latn,neutral,premise,0.9950773119926453,0.9945645332336426,0.9945645332336426,neutral,0.9977675676345825,RELIABLE_GOLD,0.997475802898407,0.05797101449275366,[],[],0.9226852059364319,0.9708322286605835,0.863418698310852,0.9882479310035706,[],118
A0048,146160,221,146160:hypothesis:fra_Latn,neutral,hypothesis,0.9960556030273438,0.9968529343605042,0.9960556030273438,neutral,0.8181596994400024,RELIABLE_GOLD,0.8836509585380554,0.19999999999999996,[],"[{""group"":""space"",""original"":{""in"":1},""candidate"":{""in"":1,""on"":1},""field"":""hypothesis""}]",0.924640953540802,0.968031108379364,0.5093473792076111,0.9912575483322144,[],108
A0049,322472,480,322472:premise:fra_Latn,entailment,premise,0.9961376786231995,0.9965564012527466,0.9961376786231995,entailment,0.9937934875488281,RELIABLE_GOLD,0.9966208934783936,0.13684210526315788,[],[],0.9951613545417786,0.9695156216621399,0.8645386695861816,0.9941540360450745,[],133
A0050,62478,93,62478:premise:fra_Latn,entailment,premise,0.9964737296104431,0.9941719174385071,0.9941719174385071,entailment,0.9828693270683289,RELIABLE_GOLD,0.978808581829071,0.1428571428571429,[],[],0.9867715239524841,0.9557738304138184,0.670976996421814,0.9570779204368591,[],133
A0051,290629,421,290629:premise:fra_Latn,entailment,premise,0.9949989318847656,0.9934825301170349,0.9934825301170349,entailment,0.993198812007904,RELIABLE_GOLD,0.995399534702301,0.07999999999999996,[],[],0.9476860761642456,0.9672465324401855,0.6895716190338135,0.9902500510215759,[],133
A0052,528520,776,528520:premise:fra_Latn,entailment,premise,0.9972124695777893,0.9971910119056702,0.9971910119056702,entailment,0.9953629970550537,RELIABLE_GOLD,0.9964052438735962,0.16981132075471694,[],[],0.8994003534317017,0.9681346416473389,0.7391189336776733,0.9922377467155457,[],133
A0053,71585,113,71585:premise:fra_Latn,neutral,premise,0.9946909546852112,0.9963299632072449,0.9946909546852112,neutral,0.9593865275382996,RELIABLE_GOLD,0.9097729921340942,0.07692307692307687,[],"[{""group"":""space"",""original"":{""outside"":1,""in"":2},""candidate"":{""in"":1},""field"":""premise""}]",0.9965711832046509,0.9721454381942749,0.6511573195457458,0.9937137961387634,[],118
A0054,224732,329,224732:hypothesis:fra_Latn,neutral,hypothesis,0.9960733652114868,0.9893938899040222,0.9893938899040222,neutral,0.998481810092926,RELIABLE_GOLD,0.9989604949951172,0.3220338983050848,[],[],0.8882398009300232,0.9087715148925781,0.6735585331916809,0.990393340587616,[],108
A0055,407321,607,407321:hypothesis:fra_Latn,neutral,hypothesis,0.9921159148216248,0.9825989007949829,0.9825989007949829,neutral,0.9970417618751526,RELIABLE_GOLD,0.9973529577255249,0.2321428571428571,[],[],0.8602103590965271,0.9674487709999084,0.14165106415748596,0.9888671040534973,[],108
A0056,219803,323,219803:hypothesis:fra_Latn,entailment,hypothesis,0.996649444103241,0.9963797926902771,0.9963797926902771,entailment,0.9969205856323242,RELIABLE_GOLD,0.9969111084938049,0.28358208955223885,[],[],0.8809987902641296,0.95963454246521,0.3295315206050873,0.9918078780174255,[],154
A0057,291507,423,291507:hypothesis:fra_Latn,neutral,hypothesis,0.9891351461410522,0.9548061490058899,0.9548061490058899,neutral,0.8398936986923218,RELIABLE_GOLD,0.994611382484436,0.1923076923076923,[],[],0.9465152621269226,0.9676138162612915,0.573740541934967,0.8718832731246948,[],108
A0058,67883,107,67883:premise:fra_Latn,contradiction,premise,0.9917219281196594,0.9895808696746826,0.9895808696746826,contradiction,0.9446806311607361,RELIABLE_GOLD,0.9496590495109558,0.032258064516129004,[],[],0.8603323101997375,0.9462103247642517,0.4790956377983093,0.9818509817123413,[],132
A0059,521683,767,521683:hypothesis:fra_Latn,contradiction,hypothesis,0.9978733062744141,0.9970384836196899,0.9970384836196899,contradiction,0.999632716178894,RELIABLE_GOLD,0.9995949864387512,0.12727272727272732,[],[],0.996828019618988,0.9674105048179626,0.8993747234344482,0.9915448427200317,[],129
A0060,88424,139,88424:premise:fra_Latn,entailment,premise,0.9966229200363159,0.9949488639831543,0.9949488639831543,entailment,0.9947713017463684,RELIABLE_GOLD,0.9955462217330933,0.052631578947368474,[],[],0.9967568516731262,0.9675903916358948,0.5327180624008179,0.9908012747764587,[],133
A0061,45940,64,45940:premise:fra_Latn,neutral,premise,0.9751476049423218,0.9888989329338074,0.9751476049423218,neutral,0.8754958510398865,RELIABLE_GOLD,0.9955845475196838,0.125,[],[],0.9791664481163025,0.9171143174171448,0.5858781337738037,0.9852430820465088,[],118
A0062,272787,394,272787:premise:fra_Latn,contradiction,premise,0.9970145225524902,0.9976723790168762,0.9970145225524902,contradiction,0.9237669110298157,RELIABLE_GOLD,0.9873722791671753,0.2183908045977011,[],[],0.9915987253189087,0.9718793034553528,0.6182857751846313,0.993251383304596,[],132
A0063,472789,691,472789:hypothesis:fra_Latn,contradiction,hypothesis,0.9982060194015503,0.9976587295532227,0.9976587295532227,contradiction,0.9992678761482239,RELIABLE_GOLD,0.9994661211967468,0.15555555555555556,[],[],0.9966058731079102,0.9647192358970642,0.9087220430374146,0.992606520652771,[],129
A0064,248126,361,248126:hypothesis:fra_Latn,entailment,hypothesis,0.9977432489395142,0.995831310749054,0.995831310749054,entailment,0.9941457509994507,RELIABLE_GOLD,0.9901540875434875,0.14893617021276595,[],[],0.9949241876602173,0.9625605940818787,0.3875579833984375,0.9929680228233337,[],154
A0065,491039,722,491039:premise:fra_Latn,entailment,premise,0.9970609545707703,0.9981203675270081,0.9970609545707703,entailment,0.9976656436920166,RELIABLE_GOLD,0.996351957321167,0.18048780487804883,[],[],0.9924170970916748,0.9731532335281372,0.36749374866485596,0.9941437840461731,[],133
A0066,5560,14,5560:premise:fra_Latn,neutral,premise,0.9953858256340027,0.9940946698188782,0.9940946698188782,neutral,0.9955888986587524,RELIABLE_GOLD,0.9966065883636475,0.06153846153846154,[],"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""premise""}]",0.9967796206474304,0.9699608087539673,0.6358767151832581,0.9834988713264465,[],118
A0067,216738,319,216738:premise:fra_Latn,entailment,premise,0.9968531727790833,0.9947598576545715,0.9947598576545715,entailment,0.9904601573944092,RELIABLE_GOLD,0.9933400750160217,0.07692307692307687,[],[],0.9964779019355774,0.9699535965919495,0.7411186695098877,0.990251898765564,[],133
A0068,425301,624,425301:hypothesis:fra_Latn,neutral,hypothesis,0.9982384443283081,0.9977758526802063,0.9977758526802063,neutral,0.9962814450263977,RELIABLE_GOLD,0.9944708347320557,0.09890109890109888,[],"[{""group"":""space"",""original"":{""on"":1},""candidate"":{},""field"":""hypothesis""}]",0.9956696033477783,0.9673826098442078,0.8409505486488342,0.9920538663864136,[],108
A0069,217803,320,217803:premise:fra_Latn,entailment,premise,0.9922266006469727,0.9866074323654175,0.9866074323654175,entailment,0.9831498265266418,RELIABLE_GOLD,0.9786309003829956,0.48888888888888893,[],"[{""group"":""quantifier"",""original"":{""many"":1},""candidate"":{},""field"":""premise""},{""group"":""space"",""original"":{""over"":1,""on"":1},""candidate"":{""on"":1},""field"":""premise""}]",0.7696093320846558,0.6661557555198669,0.25706586241722107,0.9830458164215088,[],133
A0070,188599,280,188599:hypothesis:fra_Latn,entailment,hypothesis,0.9978692531585693,0.9970837235450745,0.9970837235450745,entailment,0.9982898831367493,RELIABLE_GOLD,0.9969025254249573,0.31999999999999995,[],[],0.996408998966217,0.9630609750747681,0.3836957812309265,0.9925801157951355,[],154
A0071,196673,288,196673:premise:fra_Latn,entailment,premise,0.9972023963928223,0.9974448680877686,0.9972023963928223,entailment,0.997423529624939,RELIABLE_GOLD,0.9961351156234741,0.23076923076923073,[],[],0.9036275148391724,0.8489482402801514,0.6413547992706299,0.9937928915023804,[],133
A0072,263405,381,263405:hypothesis:fra_Latn,neutral,hypothesis,0.9940494298934937,0.9927627444267273,0.9927627444267273,neutral,0.9652493000030518,RELIABLE_GOLD,0.8756958842277527,0.101123595505618,[],[],0.9262830018997192,0.9692702889442444,0.8549517393112183,0.9924969673156738,[],108
A0073,89957,141,89957:hypothesis:fra_Latn,entailment,hypothesis,0.9971030354499817,0.996755063533783,0.996755063533783,entailment,0.9976755976676941,RELIABLE_GOLD,0.9965684413909912,0.14814814814814814,[],[],0.9966243505477905,0.9633286595344543,0.8310536742210388,0.9933214783668518,[],154
A0074,495730,726,495730:hypothesis:fra_Latn,neutral,hypothesis,0.9975016713142395,0.9974460601806641,0.9974460601806641,neutral,0.9972084164619446,RELIABLE_GOLD,0.9978094696998596,0.19298245614035092,[],[],0.9967254400253296,0.9629277586936951,0.43625783920288086,0.9911255240440369,[],108
A0075,180986,267,180986:hypothesis:fra_Latn,contradiction,hypothesis,0.9949486255645752,0.9939974546432495,0.9939974546432495,contradiction,0.998764157295227,RELIABLE_GOLD,0.9983012676239014,0.11538461538461542,[],[],0.9967834949493408,0.9705941081047058,0.6626858115196228,0.9830570816993713,[],129
A0076,71585,113,71585:hypothesis:fra_Latn,neutral,hypothesis,0.9963460564613342,0.9956507086753845,0.9956507086753845,neutral,0.881853461265564,RELIABLE_GOLD,0.9097729921340942,0.08571428571428574,[],[],0.9966378211975098,0.9687076210975647,0.8028058409690857,0.9916213750839233,[],108
A0077,173016,256,173016:premise:fra_Latn,contradiction,premise,0.9960623383522034,0.9928340911865234,0.9928340911865234,contradiction,0.9898166656494141,RELIABLE_GOLD,0.9907602071762085,0.03875968992248058,[],[],0.9967362284660339,0.9724215269088745,1.0235164165496826,0.9940745234489441,[],132
A0078,531157,778,531157:hypothesis:fra_Latn,contradiction,hypothesis,0.9973934888839722,0.9960303902626038,0.9960303902626038,contradiction,0.997958779335022,RELIABLE_GOLD,0.9964371919631958,0.16883116883116878,[],[],0.9917530417442322,0.9708418846130371,0.8715389966964722,0.9931179285049438,[],129
A0079,301629,446,301629:hypothesis:fra_Latn,contradiction,hypothesis,0.9829875230789185,0.9943209886550903,0.9829875230789185,contradiction,0.9983121156692505,RELIABLE_GOLD,0.9994062185287476,0.5882352941176471,[],[],0.8881576061248779,0.959678590297699,-0.37918880581855774,0.991333544254303,[],129
A0080,445694,650,445694:premise:fra_Latn,neutral,premise,0.9973955154418945,0.9959956407546997,0.9959956407546997,neutral,0.876724123954773,RELIABLE_GOLD,0.9665780663490295,0.26717557251908397,[],"[{""group"":""space"",""original"":{},""candidate"":{""on"":1},""field"":""premise""}]",0.9295994639396667,0.948763370513916,0.44262489676475525,0.9831962585449219,[],118
A0081,262023,380,262023:hypothesis:fra_Latn,contradiction,hypothesis,0.9967036843299866,0.9927247762680054,0.9927247762680054,contradiction,0.9975751042366028,RELIABLE_GOLD,0.9921229481697083,0.08333333333333337,[],[],0.9966458678245544,0.9607091546058655,1.0250273942947388,0.9919529557228088,[],129
A0082,188555,278,188555:hypothesis:fra_Latn,entailment,hypothesis,0.9768820405006409,0.9205495119094849,0.9205495119094849,entailment,0.9946426153182983,RELIABLE_GOLD,0.9568198323249817,0.2571428571428571,[],"[{""group"":""space"",""original"":{""on"":1},""candidate"":{},""field"":""hypothesis""}]",0.9227166175842285,0.679595410823822,0.7430063486099243,0.9367350935935974,[],154
A0083,378043,573,378043:hypothesis:fra_Latn,contradiction,hypothesis,0.9960442781448364,0.9974283576011658,0.9960442781448364,contradiction,0.9997121691703796,RELIABLE_GOLD,0.9996732473373413,0.05882352941176472,[],[],0.9967920184135437,0.9688695073127747,0.7003999948501587,0.9920639395713806,[],129
A0084,188981,281,188981:premise:fra_Latn,neutral,premise,0.9955939650535583,0.9952880144119263,0.9952880144119263,neutral,0.9955844283103943,RELIABLE_GOLD,0.9979447722434998,0.07853403141361259,[],[],0.9967373013496399,0.9729676842689514,0.6959705948829651,0.9936019778251648,[],118
A0085,429004,631,429004:hypothesis:fra_Latn,contradiction,hypothesis,0.9552555084228516,0.9461994767189026,0.9461994767189026,contradiction,0.9992400407791138,RELIABLE_GOLD,0.9978576302528381,0.18181818181818177,[],[],0.9686222672462463,0.9112268686294556,0.2918771207332611,0.9742448925971985,[],129
A0086,424045,622,424045:hypothesis:fra_Latn,contradiction,hypothesis,0.9982755184173584,0.9979540109634399,0.9979540109634399,contradiction,0.9987943172454834,RELIABLE_GOLD,0.9982548356056213,0.16923076923076918,[],[],0.9962707757949829,0.9652723670005798,0.48292338848114014,0.991733193397522,[],129
A0087,376513,569,376513:premise:fra_Latn,neutral,premise,0.997285008430481,0.9977176189422607,0.997285008430481,neutral,0.9961788654327393,RELIABLE_GOLD,0.9961410164833069,0.09090909090909094,[],[],0.9953688979148865,0.9680716395378113,0.9107618927955627,0.9937991499900818,[],118
