source_index,original_source_index,candidate_id,gold_label,augmented_field,old_accepted,old_reasons,source_nli_status,original_nli_predicted_label,original_nli_gold_probability,semantic_min,candidate_nli_predicted_label,candidate_nli_gold_probability,nli_gold_probability_delta,old_hard_cue_changes,v2_accepted,v2_reasons,decision_change,normalization_category,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,semantic_forward_entailment,semantic_backward_entailment,soft_cue_changes,change_ratio
5,2169,5:hypothesis:fra_Latn,neutral,hypothesis,False,"[""trivial_copy"",""label_flip""]",GOLD_DISAGREEMENT,entailment,0.043892089277505875,0.9946637153625488,entailment,0.09445426613092422,0.05056217685341835,[],False,"[""source_label_disagreement""]",KEEP_REJECTED,other cue,A woman is holding a bird while sitting in a flowering tree.,a woman puts her bird ina a tree,A woman is holding a bird while sitting in a flowering tree.,A woman puts her bird in a tree,a woman puts her bird ina a tree,A woman puts her bird in a tree,0.9961535334587097,0.9946637153625488,"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""hypothesis""}]",0.015873015873015928
5,2169,5:premise:fra_Latn,neutral,premise,False,"[""label_flip""]",GOLD_DISAGREEMENT,entailment,0.043892089277505875,0.9962062835693359,entailment,0.03431759029626846,-0.009574498981237411,[],False,"[""source_label_disagreement""]",KEEP_REJECTED,other cue,A woman is holding a bird while sitting in a flowering tree.,a woman puts her bird ina a tree,A woman holds a bird while sitting in a flowering tree.,a woman puts her bird ina a tree,A woman is holding a bird while sitting in a flowering tree.,A woman holds a bird while sitting in a flowering tree.,0.9973118305206299,0.9962062835693359,[],0.060869565217391286
6,2194,6:hypothesis:fra_Latn,neutral,hypothesis,True,[],RELIABLE_GOLD,neutral,0.9989271759986877,0.993664026260376,neutral,0.9989591836929321,3.2007694244384766e-05,[],True,[],KEEP_ACCEPTED,other cue,Two people are planting small bushes near a grassy area.,Two people are planting bushes for charity.,Two people are planting small bushes near a grassy area.,Two people planting bushes for charity.,Two people are planting bushes for charity.,Two people planting bushes for charity.,0.9966105818748474,0.993664026260376,[],0.04878048780487809
6,2194,6:premise:fra_Latn,neutral,premise,True,[],RELIABLE_GOLD,neutral,0.9989271759986877,0.9974109530448914,neutral,0.9988778233528137,-4.935264587402344e-05,[],True,[],KEEP_ACCEPTED,other cue,Two people are planting small bushes near a grassy area.,Two people are planting bushes for charity.,Two people are planting little bushes near a grassy area.,Two people are planting bushes for charity.,Two people are planting small bushes near a grassy area.,Two people are planting little bushes near a grassy area.,0.9979504942893982,0.9974109530448914,[],0.06194690265486724
7,3208,7:hypothesis:fra_Latn,entailment,hypothesis,False,"[""semantic_drift""]",RELIABLE_GOLD,entailment,0.9686083197593689,0.006149317603558302,entailment,0.8376345634460449,-0.13097375631332397,[],False,"[""semantic_drift""]",KEEP_REJECTED,other cue,A boat captain steering a large green wheel.,A guy is at the green helm of a boat.,A boat captain steering a large green wheel.,There's a guy on the green deck of a boat.,A guy is at the green helm of a boat.,There's a guy on the green deck of a boat.,0.5665518641471863,0.006149317603558302,"[{""group"":""space"",""original"":{},""candidate"":{""on"":1},""field"":""hypothesis""}]",0.26582278481012656
7,3208,7:premise:fra_Latn,entailment,premise,True,[],RELIABLE_GOLD,entailment,0.9686083197593689,0.9961495399475098,entailment,0.9822490215301514,0.01364070177078247,[],True,[],KEEP_ACCEPTED,other cue,A boat captain steering a large green wheel.,A guy is at the green helm of a boat.,A ship captain driving a big green wheel.,A guy is at the green helm of a boat.,A boat captain steering a large green wheel.,A ship captain driving a big green wheel.,0.9961495399475098,0.997067391872406,[],0.24705882352941178
8,3931,8:hypothesis:fra_Latn,contradiction,hypothesis,True,[],RELIABLE_GOLD,contradiction,0.9816632270812988,0.9955645799636841,contradiction,0.9844326972961426,0.00276947021484375,[],True,[],KEEP_ACCEPTED,other cue,Band playing in front of a small crowd outside.,There are thousands of people watching them perform.,Band playing in front of a small crowd outside.,Thousands of people watch them play.,There are thousands of people watching them perform.,Thousands of people watch them play.,0.9955645799636841,0.9959243535995483,[],0.25
8,3931,8:premise:fra_Latn,contradiction,premise,True,[],RELIABLE_GOLD,contradiction,0.9816632270812988,0.9955717325210571,contradiction,0.990672767162323,0.00900954008102417,[],True,[],KEEP_ACCEPTED,other cue,Band playing in front of a small crowd outside.,There are thousands of people watching them perform.,The band plays in front of a small crowd outside.,There are thousands of people watching them perform.,Band playing in front of a small crowd outside.,The band plays in front of a small crowd outside.,0.9955717325210571,0.9971604347229004,[],0.08333333333333337
9,4111,9:hypothesis:fra_Latn,neutral,hypothesis,True,[],RELIABLE_GOLD,neutral,0.9993659853935242,0.9915760159492493,neutral,0.9986774325370789,-0.0006885528564453125,[],True,[],KEEP_ACCEPTED,other cue,Tattooed man getting a tattoo.,A tattooed man is getting a tattoo of a Chinese character.,Tattooed man getting a tattoo.,A tattooed man gets a Chinese character tattooed.,A tattooed man is getting a tattoo of a Chinese character.,A tattooed man gets a Chinese character tattooed.,0.9970977306365967,0.9915760159492493,[],0.2710280373831776
9,4111,9:premise:fra_Latn,neutral,premise,True,[],RELIABLE_GOLD,neutral,0.9993659853935242,0.9921482801437378,neutral,0.9991587400436401,-0.0002072453498840332,[],True,[],KEEP_ACCEPTED,other cue,Tattooed man getting a tattoo.,A tattooed man is getting a tattoo of a Chinese character.,A man with a tattoo gets a tattoo.,A tattooed man is getting a tattoo of a Chinese character.,Tattooed man getting a tattoo.,A man with a tattoo gets a tattoo.,0.997239351272583,0.9921482801437378,[],0.375
10,4403,10:hypothesis:fra_Latn,neutral,hypothesis,True,[],RELIABLE_GOLD,neutral,0.9945354461669922,0.9564880728721619,neutral,0.9702602028846741,-0.024275243282318115,[],True,[],KEEP_ACCEPTED,other cue,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique costume is playing the bagpipes  for monetary gain.,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique suit plays the bagpipes to make money.,A man in a unique costume is playing the bagpipes  for monetary gain.,A man in a unique suit plays the bagpipes to make money.,0.9564880728721619,0.9799052476882935,[],0.24193548387096775
10,4403,10:premise:fra_Latn,neutral,premise,True,[],RELIABLE_GOLD,neutral,0.9945354461669922,0.9796615839004517,neutral,0.989096999168396,-0.005438446998596191,[],True,[],KEEP_ACCEPTED,other cue,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique costume is playing the bagpipes  for monetary gain.,A man in a unique suit plays a pipe while people watch him.,A man in a unique costume is playing the bagpipes  for monetary gain.,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique suit plays a pipe while people watch him.,0.9796615839004517,0.9840208888053894,"[{""group"":""quantifier"",""original"":{""some"":1},""candidate"":{},""field"":""premise""}]",0.2571428571428571
11,4548,11:hypothesis:fra_Latn,contradiction,hypothesis,False,"[""label_flip""]",GOLD_DISAGREEMENT,neutral,0.01081023272126913,0.9931911826133728,neutral,0.045716430991888046,0.034906198270618916,[],False,"[""source_label_disagreement""]",KEEP_REJECTED,other cue,"Four musicians playing reed instruments with one playing a clarinet and three playing saxophones, being watched by a young child on a bicycle.",some musicians sleep,"Four musicians playing reed instruments with one playing a clarinet and three playing saxophones, being watched by a young child on a bicycle.",Some musicians are asleep.,some musicians sleep,Some musicians are asleep.,0.9937859773635864,0.9931911826133728,[],0.13043478260869568
11,4548,11:premise:fra_Latn,contradiction,premise,False,"[""semantic_drift"",""label_flip""]",GOLD_DISAGREEMENT,neutral,0.01081023272126913,0.5055648684501648,neutral,0.017588557675480843,0.006778324954211712,[],False,"[""source_label_disagreement""]",KEEP_REJECTED,other cue,"Four musicians playing reed instruments with one playing a clarinet and three playing saxophones, being watched by a young child on a bicycle.",some musicians sleep,"Four musicians playing harp instruments, one clarinet player and three saxophones, watched by a little child riding a bicycle.",some musicians sleep,"Four musicians playing reed instruments with one playing a clarinet and three playing saxophones, being watched by a young child on a bicycle.","Four musicians playing harp instruments, one clarinet player and three saxophones, watched by a little child riding a bicycle.",0.5055648684501648,0.9894887804985046,"[{""group"":""space"",""original"":{""on"":1},""candidate"":{},""field"":""premise""}]",0.22388059701492535
12,5321,12:hypothesis:fra_Latn,entailment,hypothesis,True,[],RELIABLE_GOLD,entailment,0.9977225661277771,0.9753323197364807,entailment,0.9962078332901001,-0.001514732837677002,[],True,[],KEEP_ACCEPTED,other cue,"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",Two young adults are at a rodeo.,"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",Two young adults are in a rodeo.,Two young adults are at a rodeo.,Two young adults are in a rodeo.,0.9753323197364807,0.9936805963516235,"[{""group"":""space"",""original"":{},""candidate"":{""in"":1},""field"":""hypothesis""}]",0.0625
12,5321,12:premise:fra_Latn,entailment,premise,False,"[""semantic_drift""]",RELIABLE_GOLD,entailment,0.9977225661277771,0.0011723102070391178,entailment,0.996096670627594,-0.0016258955001831055,[],False,"[""semantic_drift""]",KEEP_REJECTED,other cue,"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",Two young adults are at a rodeo.,"Two young adults on a rodeo, one helping the other to repair an arm injury after a short walk.",Two young adults are at a rodeo.,"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.","Two young adults on a rodeo, one helping the other to repair an arm injury after a short walk.",0.0011723102070391178,0.012599664740264416,"[{""group"":""space"",""original"":{},""candidate"":{""on"":1},""field"":""premise""}]",0.23076923076923073
13,5450,13:hypothesis:fra_Latn,neutral,hypothesis,False,"[""trivial_copy""]",RELIABLE_GOLD,neutral,0.9031684994697571,0.9974853992462158,neutral,0.9031684994697571,0.0,[],False,"[""trivial_copy""]",KEEP_REJECTED,other cue,A heavyset man is standing next to a building.,The man works in the building.,A heavyset man is standing next to a building.,The man works in the building.,The man works in the building.,The man works in the building.,0.9974853992462158,0.9974853992462158,[],0.0
13,5450,13:premise:fra_Latn,neutral,premise,False,"[""low_nli_confidence""]",RELIABLE_GOLD,neutral,0.9031684994697571,0.9488439559936523,neutral,0.7582346796989441,-0.144933819770813,[],False,"[""low_nli_confidence""]",KEEP_REJECTED,other cue,A heavyset man is standing next to a building.,The man works in the building.,A tall man stands next to a building.,The man works in the building.,A heavyset man is standing next to a building.,A tall man stands next to a building.,0.9828923940658569,0.9488439559936523,[],0.20481927710843373
14,5560,14:hypothesis:fra_Latn,neutral,hypothesis,True,[],RELIABLE_GOLD,neutral,0.9966065883636475,0.9973689317703247,neutral,0.9986727237701416,0.0020661354064941406,[],True,[],KEEP_ACCEPTED,other cue,A group of young students are hanging out together in a university.,Students sit together by the Student Union building.,A group of young students are hanging out together in a university.,The students are sitting together near the Student Union building.,Students sit together by the Student Union building.,The students are sitting together near the Student Union building.,0.9978126287460327,0.9973689317703247,"[{""group"":""space"",""original"":{},""candidate"":{""near"":1},""field"":""hypothesis""}]",0.15254237288135597
14,5560,14:premise:fra_Latn,neutral,premise,True,[],RELIABLE_GOLD,neutral,0.9966065883636475,0.9940946698188782,neutral,0.9955888986587524,-0.0010176897048950195,[],True,[],KEEP_ACCEPTED,other cue,A group of young students are hanging out together in a university.,Students sit together by the Student Union building.,A group of young students hanging out together at a university.,Students sit together by the Student Union building.,A group of young students are hanging out together in a university.,A group of young students hanging out together at a university.,0.9953858256340027,0.9940946698188782,"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""premise""}]",0.06153846153846154
15,5704,15:hypothesis:fra_Latn,neutral,hypothesis,True,[],RELIABLE_GOLD,neutral,0.9921020865440369,0.9950972199440002,neutral,0.9957078695297241,0.003605782985687256,[],True,[],KEEP_ACCEPTED,other cue,A blond singer is performing as people dance behind her.,Gwen Stefani sings while fans dance.,A blond singer is performing as people dance behind her.,Gwen Stefani sings while the fans dance.,Gwen Stefani sings while fans dance.,Gwen Stefani sings while the fans dance.,0.9950972199440002,0.9968830943107605,[],0.052631578947368474
15,5704,15:premise:fra_Latn,neutral,premise,True,[],RELIABLE_GOLD,neutral,0.9921020865440369,0.9969237446784973,neutral,0.9906813502311707,-0.001420736312866211,[],True,[],KEEP_ACCEPTED,other cue,A blond singer is performing as people dance behind her.,Gwen Stefani sings while fans dance.,A blonde singer performs as people dance behind her.,Gwen Stefani sings while fans dance.,A blond singer is performing as people dance behind her.,A blonde singer performs as people dance behind her.,0.9974015951156616,0.9969237446784973,[],0.07407407407407407
16,6279,16:hypothesis:fra_Latn,neutral,hypothesis,True,[],RELIABLE_GOLD,neutral,0.995549201965332,0.9879569411277771,neutral,0.9935203194618225,-0.0020288825035095215,[],True,[],KEEP_ACCEPTED,other cue,"A man in sunglasses, a red striped sweater, and a leather jacket smiles and points his finger.",A black man in sunglasses and a leather jacket is smiling while pointing a finger,"A man in sunglasses, a red striped sweater, and a leather jacket smiles and points his finger.",A black man with sunglasses and a leather jacket smiles pointing a finger.,A black man in sunglasses and a leather jacket is smiling while pointing a finger,A black man with sunglasses and a leather jacket smiles pointing a finger.,0.9879569411277771,0.9907644987106323,"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""hypothesis""}]",0.10967741935483866
16,6279,16:premise:fra_Latn,neutral,premise,True,[],RELIABLE_GOLD,neutral,0.995549201965332,0.9901705384254456,neutral,0.9950945377349854,-0.0004546642303466797,[],True,[],KEEP_ACCEPTED,other cue,"A man in sunglasses, a red striped sweater, and a leather jacket smiles and points his finger.",A black man in sunglasses and a leather jacket is smiling while pointing a finger,"A man with sunglasses, a striped red sweater and a leather jacket smiles and points his finger.",A black man in sunglasses and a leather jacket is smiling while pointing a finger,"A man in sunglasses, a red striped sweater, and a leather jacket smiles and points his finger.","A man with sunglasses, a striped red sweater and a leather jacket smiles and points his finger.",0.9901705384254456,0.9924111366271973,"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""premise""}]",0.06878306878306883
17,7321,17:hypothesis:fra_Latn,neutral,hypothesis,False,"[""semantic_drift"",""label_flip""]",GOLD_DISAGREEMENT,entailment,0.1327843815088272,0.00999884307384491,contradiction,0.0399911031126976,-0.09279327839612961,[],False,"[""source_label_disagreement""]",KEEP_REJECTED,other cue,A person picking garbanzo beans with her bear hands.,A person picks garbanzo beans with bear paws for hands.,A person picking garbanzo beans with her bear hands.,A person chooses garbanzo beans with bear legs for their hands.,A person picks garbanzo beans with bear paws for hands.,A person chooses garbanzo beans with bear legs for their hands.,0.00999884307384491,0.010619017295539379,[],0.1694915254237288
17,7321,17:premise:fra_Latn,neutral,premise,False,"[""semantic_drift"",""label_flip""]",GOLD_DISAGREEMENT,entailment,0.1327843815088272,0.0049889544025063515,entailment,0.015354876406490803,-0.1174295051023364,[],False,"[""source_label_disagreement""]",KEEP_REJECTED,other cue,A person picking garbanzo beans with her bear hands.,A person picks garbanzo beans with bear paws for hands.,A person who collects garbanzo beans with his bear hands.,A person picks garbanzo beans with bear paws for hands.,A person picking garbanzo beans with her bear hands.,A person who collects garbanzo beans with his bear hands.,0.06081399321556091,0.0049889544025063515,[],0.19266055045871555
18,8269,18:hypothesis:fra_Latn,entailment,hypothesis,True,[],RELIABLE_GOLD,entailment,0.9953662157058716,0.9948099851608276,entailment,0.99335116147995,-0.002015054225921631,[],True,[],KEEP_ACCEPTED,other cue,A dog running fast with ears flying.,The dog is running fast.,A dog running fast with ears flying.,The dog runs fast.,The dog is running fast.,The dog runs fast.,0.9975548386573792,0.9948099851608276,[],0.19047619047619047
18,8269,18:premise:fra_Latn,entailment,premise,True,[],RELIABLE_GOLD,entailment,0.9953662157058716,0.9942838549613953,entailment,0.9910236597061157,-0.004342555999755859,[],True,[],KEEP_ACCEPTED,other cue,A dog running fast with ears flying.,The dog is running fast.,A dog that runs fast with flying ears.,The dog is running fast.,A dog running fast with ears flying.,A dog that runs fast with flying ears.,0.9957169890403748,0.9942838549613953,[],0.2702702702702703
19,8435,19:hypothesis:fra_Latn,neutral,hypothesis,False,"[""trivial_copy"",""label_flip""]",GOLD_DISAGREEMENT,entailment,0.014348148368299007,0.9970179796218872,entailment,0.01434814091771841,-7.450580596923828e-09,[],False,"[""source_label_disagreement""]",KEEP_REJECTED,other cue,A young boy sit alone in a wagon and holds on tightly to two cattle as they follow his mother's wagon down a dusty dirt road.,A boy and his mother are moving.,A young boy sit alone in a wagon and holds on tightly to two cattle as they follow his mother's wagon down a dusty dirt road.,A boy and his mother are moving.,A boy and his mother are moving.,A boy and his mother are moving.,0.9970179796218872,0.9970179796218872,[],0.0
19,8435,19:premise:fra_Latn,neutral,premise,False,"[""semantic_drift"",""label_flip""]",GOLD_DISAGREEMENT,entailment,0.014348148368299007,0.34918639063835144,entailment,0.05709698423743248,0.04274883586913347,[],False,"[""source_label_disagreement""]",KEEP_REJECTED,other cue,A young boy sit alone in a wagon and holds on tightly to two cattle as they follow his mother's wagon down a dusty dirt road.,A boy and his mother are moving.,A young boy is sitting alone in a chariot and clinging tightly to two cattle that follow his mother's chariot on a dirt road.,A boy and his mother are moving.,A young boy sit alone in a wagon and holds on tightly to two cattle as they follow his mother's wagon down a dusty dirt road.,A young boy is sitting alone in a chariot and clinging tightly to two cattle that follow his mother's chariot on a dirt road.,0.34918639063835144,0.9048515558242798,[],0.21599999999999997
20,9707,20:hypothesis:fra_Latn,neutral,hypothesis,False,"[""hard_cue_changed""]",RELIABLE_GOLD,neutral,0.9943884015083313,0.9939765930175781,neutral,0.970716655254364,-0.023671746253967285,"[{""group"":""number"",""original"":{""two"":2},""candidate"":{""two"":1},""field"":""hypothesis""}]",False,"[""numeric_value_changed""]",KEEP_REJECTED,number normalization,A woman in a white jacket is standing next to an older woman while reviewing a subway map.,Two two women are going to take the subway into town.,A woman in a white jacket is standing next to an older woman while reviewing a subway map.,Two women are taking the subway to the city.,Two two women are going to take the subway into town.,Two women are taking the subway to the city.,0.9939765930175781,0.9970983266830444,[],0.2989690721649485
20,9707,20:premise:fra_Latn,neutral,premise,True,[],RELIABLE_GOLD,neutral,0.9943884015083313,0.9870295524597168,neutral,0.9935508966445923,-0.0008375048637390137,[],True,[],KEEP_ACCEPTED,other cue,A woman in a white jacket is standing next to an older woman while reviewing a subway map.,Two two women are going to take the subway into town.,A woman in a white jacket is standing next to an elderly woman looking at a map of the subway.,Two two women are going to take the subway into town.,A woman in a white jacket is standing next to an older woman while reviewing a subway map.,A woman in a white jacket is standing next to an elderly woman looking at a map of the subway.,0.9870295524597168,0.9974886178970337,[],0.19565217391304346
21,10680,21:hypothesis:fra_Latn,contradiction,hypothesis,False,"[""hard_cue_changed""]",RELIABLE_GOLD,contradiction,0.9993793964385986,0.995875895023346,contradiction,0.9995075464248657,0.00012814998626708984,"[{""group"":""number"",""original"":{""two"":1},""candidate"":{},""field"":""hypothesis""}]",True,[],NEWLY_ACCEPTED,number normalization,Two girls looking in microscopes.,the two girls are listening to music while in science class instead of doing their homework,Two girls looking in microscopes.,Both girls listen to music in science class instead of doing their homework.,the two girls are listening to music while in science class instead of doing their homework,Both girls listen to music in science class instead of doing their homework.,0.9962235689163208,0.995875895023346,[],0.12574850299401197
21,10680,21:premise:fra_Latn,contradiction,premise,True,[],RELIABLE_GOLD,contradiction,0.9993793964385986,0.9540716409683228,contradiction,0.9994245767593384,4.5180320739746094e-05,[],True,[],KEEP_ACCEPTED,other cue,Two girls looking in microscopes.,the two girls are listening to music while in science class instead of doing their homework,Two girls looking at the microscope.,the two girls are listening to music while in science class instead of doing their homework,Two girls looking in microscopes.,Two girls looking at the microscope.,0.9767071008682251,0.9540716409683228,"[{""group"":""space"",""original"":{""in"":1},""candidate"":{},""field"":""premise""}]",0.13043478260869568
22,11003,22:hypothesis:fra_Latn,neutral,hypothesis,False,"[""low_nli_confidence""]",GOLD_LOW_CONFIDENCE,neutral,0.7599707841873169,0.9807124137878418,neutral,0.7142044305801392,-0.045766353607177734,[],False,"[""source_nli_low_confidence""]",KEEP_REJECTED,other cue,Two men in suits laugh together.,The two guys in suits are talking and smiling.,Two men in suits laugh together.,The two guys in the suit are talking and smiling.,The two guys in suits are talking and smiling.,The two guys in the suit are talking and smiling.,0.9915891289710999,0.9807124137878418,[],0.052631578947368474
22,11003,22:premise:fra_Latn,neutral,premise,False,"[""label_flip""]",GOLD_LOW_CONFIDENCE,neutral,0.7599707841873169,0.9958398342132568,entailment,0.45672398805618286,-0.30324679613113403,[],False,"[""source_nli_low_confidence""]",KEEP_REJECTED,other cue,Two men in suits laugh together.,The two guys in suits are talking and smiling.,Two men in suits laughing together.,The two guys in suits are talking and smiling.,Two men in suits laugh together.,Two men in suits laughing together.,0.9958398342132568,0.9967206120491028,[],0.04477611940298509
23,12969,23:hypothesis:fra_Latn,contradiction,hypothesis,False,"[""hard_cue_changed"",""semantic_drift"",""label_flip""]",RELIABLE_GOLD,contradiction,0.9983012080192566,0.0067181834019720554,neutral,0.006090196315199137,-0.9922110117040575,"[{""group"":""negation"",""original"":{""n't"":1},""candidate"":{""not"":1},""field"":""hypothesis""}]",False,"[""semantic_drift"",""label_flip""]",KEEP_REJECTED,negation normalization,"Two men walk in the park, one with a shaggy dog on a leash and a device for cleaning up canine droppings.",The dog isn't shaggy,"Two men walk in the park, one with a shaggy dog on a leash and a device for cleaning up canine droppings.",The dog's not sexy.,The dog isn't shaggy,The dog's not sexy.,0.022726181894540787,0.0067181834019720554,[],0.33333333333333337
